state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ADAMAWA,YOLA SOUTH,YOLDE KOHI,HOSERE JAURO BAPPA PRIMARY SCHOOL,02/21/11/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/129437/129437-1677597743.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,HOSERE DISPENSARY./ OFF NUMAN ROAD,02/21/11/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5282/5282-1677500950.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,DINGALI PRI. SCH./ OFF MAYO - BELWA ROAD,02/21/11/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5279/5279-1677500651.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,SABANA PRI. SCH./ ALONG NUMAN ROAD,02/21/11/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5289/5289-1677500221.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,KOFAR JAURO MALLAM MUSA/ OFF MAYO BELWA ROAD,02/21/11/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5286/5286-1677499980.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,KOFAR JAURO TABRA/ OFF MAYO BELWA ROAD,02/21/11/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5288/5288-1677499678.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,KOFAR JAURO IBBARE/ MAYO BELWA ROAD,02/21/11/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5285/5285-1677499574.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,GONGOSHI DISPENSARY/ IN GONGOSHI VILLAGE,02/21/11/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5280/5280-1677499323.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,HOSERE PRI. SCH./ OFF NUMAN ROAD,02/21/11/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5283/5283-1677499256.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,KOFAR JAURO NGASAGA/ NUMAN ROAD,02/21/11/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5287/5287-1677499219.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,DINGALI PRIMARY SCHOOL II,02/21/11/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/129436/129436-1677498585.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,YOLDE KOHI PRI. SCH./ ALONG MAYO - BELWA ROAD,02/21/11/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5290/5290-1677498583.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,YOLDE KOHI PRIMARY SCHOOL II/ALONG MAYO BELWA ROAD,02/21/11/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/129438/129438-1677497387.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,GONGOSHI PRI. SCH./ IN GONGOSHI VILLAGE,02/21/11/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5281/5281-1677496897.pdf,false
ADAMAWA,YOLA SOUTH,YOLDE KOHI,KOFAR JAURO DUBIRE/ OFF MAYO BELWA ROAD,02/21/11/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3140/ward/17935/pu/5284/5284-1677494706.pdf,false
