state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,AJINGI,AJINGI,"DUGWAL, NEAR H/H HOUSE I",19/01/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56771/result_119037_1677529758_thumb.jpg,true
KANO,AJINGI,AJINGI,"S/G/MALIKAWA, AJINGI YAMMA PS II",19/01/01/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56869/56869-1677528160.pdf,false
KANO,AJINGI,AJINGI,"S/G DUGWAL , AJINGI YAMMA PS II",19/01/01/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56871/56871-1677608605.pdf,false
KANO,AJINGI,AJINGI,"OPP,GIDAN ALKALI",19/01/01/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/148136/148136-1677582056.pdf,true
KANO,AJINGI,AJINGI,"UNG/KUDU, AJINGI SP. S III",19/01/01/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56879/56879-1677581953.pdf,true
KANO,AJINGI,AJINGI,"S/G DUGWAL , AJINGI YAMMA PS I",19/01/01/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56870/56870-1677581626.pdf,true
KANO,AJINGI,AJINGI,UNG/BORI OLD CIVIL DEFENCE OFFICE,19/01/01/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/148139/148139-1677534271.pdf,false
KANO,AJINGI,AJINGI,"AJINGI MAGISTRATE COURT,U/AREWA",19/01/01/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/148138/148138-1677534093.pdf,false
KANO,AJINGI,AJINGI,"AJINGI AREWA PRI,SCH",19/01/01/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/148137/148137-1677533894.pdf,false
KANO,AJINGI,AJINGI,ANSARUDDEEN ISLAMIYYA SCH.,19/01/01/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/148135/148135-1677533630.pdf,false
KANO,AJINGI,AJINGI,"UNG BORI, AJINGI DISPERSARY II",19/01/01/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56881/56881-1677533427.pdf,false
KANO,AJINGI,AJINGI,"UNG BORI, AJINGI DISPERSARY I",19/01/01/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56880/56880-1677533292.pdf,false
KANO,AJINGI,AJINGI,"UNG/KUDU, AJINGI SP. S II",19/01/01/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56878/56878-1677533159.pdf,false
KANO,AJINGI,AJINGI,"UNG/KUDU, AJINGI SP. S I",19/01/01/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56877/56877-1677533042.pdf,false
KANO,AJINGI,AJINGI,"UNG/AREWA, AJINGI LIBRARY III",19/01/01/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56876/56876-1677532880.pdf,false
KANO,AJINGI,AJINGI,"UNG/AREWA, AJINGI LIBRARY II",19/01/01/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56875/56875-1677532742.pdf,false
KANO,AJINGI,AJINGI,"UNG/AREWA, AJINGI LIBRARY I",19/01/01/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56874/56874-1677532599.pdf,false
KANO,AJINGI,AJINGI,SAGALAWA C/GARI SAGALAWA P.S.,19/01/01/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56873/56873-1677532489.pdf,false
KANO,AJINGI,AJINGI,"S/G SAKALAWA, AJINGI YAMMA PS III",19/01/01/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56872/56872-1677528546.pdf,false
KANO,AJINGI,AJINGI,"S/G/MALIKAWA, AJINGI YAMMA PS I",19/01/01/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56868/56868-1677527852.pdf,false
KANO,AJINGI,AJINGI,"MARAYAR SOBA, GIDAN MALAM",19/01/01/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56867/56867-1677527718.pdf,false
KANO,AJINGI,AJINGI,"MALIKAWA/ZARAWA, AJINGI YAMMA PS II",19/01/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56866/56866-1677527405.pdf,false
KANO,AJINGI,AJINGI,"MALIKAWA/ZARAWA, AJINGI YAMMA PS I",19/01/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56865/56865-1677527029.pdf,false
KANO,AJINGI,AJINGI,"KUMAWA BORI, NEAR, W/H HOUSE",19/01/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56864/56864-1677526835.pdf,false
KANO,AJINGI,AJINGI,"DUGWA,NEAR H/H HOUSE II",19/01/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3472/ward/21782/pu/56863/56863-1677521767.pdf,false
