state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,AJINGI,DUNDUN,"UNBUNUSHI/YAMMA/GABIAS,UNB P.S. (GABAS)",19/01/05/011,https://docs.inecelectionresults.net/elections/1292/1677761578-56929.pdf,true
KANO,AJINGI,DUNDUN,"DIGWAL, NEAR W/H/HOUSE",19/01/05/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56828/result_119100_1677572934_thumb.jpg,false
KANO,AJINGI,DUNDUN,"WURAWA YAMMA / GABAS, W/H HOUSE",19/01/05/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56842/result_119114_1677571340_thumb.jpg,false
KANO,AJINGI,DUNDUN,"UNG/GALADIMA,MAIDAWA P.S",19/01/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56839/result_119111_1677571724_thumb.jpg,false
KANO,AJINGI,DUNDUN,"WURAWA PRI,SCH",19/01/05/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/643429/result_119115_1677570393_thumb.jpg,false
KANO,AJINGI,DUNDUN,"KASKO, NEAR W/H HOUSE",19/01/05/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56832/result_119104_1677573444_thumb.jpg,false
KANO,AJINGI,DUNDUN,"DUNDUN C/GARI, DUNDUN P.S II",19/01/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56830/result_119102_1677573193_thumb.jpg,false
KANO,AJINGI,DUNDUN,"MAKA, NEAR TSAMIYA",19/01/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56834/result_119106_1677572832_thumb.jpg,false
KANO,AJINGI,DUNDUN,"DUNDUN C/GARI, DUNDUN P.S III",19/01/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56831/result_119103_1677573283_thumb.jpg,false
KANO,AJINGI,DUNDUN,"YANWAWA C/GARI, YAN. P.S.",19/01/05/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56840/result_119112_1677571592_thumb.jpg,false
KANO,AJINGI,DUNDUN,"S/SARIA/MUMUNIYAL, MUMUNIYAL P.S.",19/01/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56837/result_119109_1677572157_thumb.jpg,false
KANO,AJINGI,DUNDUN,"S/G/DUNDUN, NEAR WAKILI HOUSE II",19/01/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56836/result_119108_1677573797_thumb.jpg,false
KANO,AJINGI,DUNDUN,"WAILARE ALHAJERI, N V/HEAD",19/01/05/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56841/result_119113_1677571467_thumb.jpg,false
KANO,AJINGI,DUNDUN,"MAIGANA, MAIGANA P.S.",19/01/05/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56833/result_119105_1677573566_thumb.jpg,false
KANO,AJINGI,DUNDUN,"S/G/DUNDUN, NEAR WAKILI HOUSE I",19/01/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56835/result_119107_1677573700_thumb.jpg,false
KANO,AJINGI,DUNDUN,"DUNDUN C/GARI, DUNDUN P.S I",19/01/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56829/result_119101_1677573025_thumb.jpg,false
