state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,AJINGI,GAFASA,"JIYAYYA/HUMBUNARE,JIYAYYA PRI,SCH I",19/01/06/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/643430/result_119134_1677695768_thumb.jpg,false
KANO,AJINGI,GAFASA,"KWAIDO T/BAREYI, NEAR W/H HOUSE",19/01/06/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56855/result_119128_1677695715_thumb.jpg,false
KANO,AJINGI,GAFASA,"GAFASA WALAWA, NEAR MAIN RAOD",19/01/06/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56852/result_119125_1677695656_thumb.jpg,false
KANO,AJINGI,GAFASA,"FALAKAWA, NEAR W/H HOUSE (FALANKAWA) I",19/01/06/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56849/result_119122_1677695603_thumb.jpg,false
KANO,AJINGI,GAFASA,"YAFAI, NEAR W/H HOUSE",19/01/06/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56860/result_119133_1677624558_thumb.jpg,false
KANO,AJINGI,GAFASA,"TURAJI R/LUDAYI,NEAR W/HOUSE",19/01/06/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56859/result_119132_1677624473_thumb.jpg,false
KANO,AJINGI,GAFASA,"TSARAMBAI, TSARAMBAI P.S",19/01/06/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56858/result_119131_1677603763_thumb.jpg,false
KANO,AJINGI,GAFASA,MALAWA/ EWTEGEL- MALAWA P.S,19/01/06/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,AJINGI,GAFASA,KEBBERI/UNG. ALH. UNG. ALH.,19/01/06/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56854/result_119127_1677603242_thumb.jpg,false
KANO,AJINGI,GAFASA,"MAIMOLO, MAIMOLO P.S",19/01/06/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56856/result_119129_1677602939_thumb.jpg,false
KANO,AJINGI,GAFASA,"JIYAYYA/HUMBUNARE,JIYAYYA P.S",19/01/06/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56853/result_119126_1677602674_thumb.jpg,false
KANO,AJINGI,GAFASA,"GAFASA WALAWA, NEAR MAIN RAOD",19/01/06/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56851/result_119124_1677602512_thumb.jpg,false
KANO,AJINGI,GAFASA,"FALAKAWA, NEAR W/H HOUSE(FALANKAWA) II",19/01/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56850/result_119123_1677602371_thumb.jpg,false
KANO,AJINGI,GAFASA,"DANGYALA/HUAMBARAWA, HM P.S - HUMBURAWA",19/01/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,AJINGI,GAFASA,"DARA, NEAR W/H HOUSE",19/01/06/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56848/result_119121_1677602190_thumb.jpg,false
KANO,AJINGI,GAFASA,DANMALAM P.S II,19/01/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56846/result_119119_1677601427_thumb.jpg,false
KANO,AJINGI,GAFASA,DANMALAM PRI .SCH I,19/01/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56845/result_119118_1677601196_thumb.jpg,false
KANO,AJINGI,GAFASA,"BURUNBUSU, NEAR W/H HOUSE",19/01/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56844/result_119117_1677601042_thumb.jpg,false
KANO,AJINGI,GAFASA,"ASAYAYA, NEAR W/H HOUSE",19/01/06/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/56843/result_119116_1677600844_thumb.jpg,false
