state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,BAGWAI,RIMIN DAKO,BUDEL II,19/03/07/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57172/result_119518_1677608144_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,BAUJE PRI. SCH. (BAURE C/GARI I),19/03/07/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57169/result_119515_1677607851_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,GJSS RIMIN DAKO II,19/03/07/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/643503/result_119525_1677607595_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,ZANGO DINYA II,19/03/07/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57178/result_119524_1677607272_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,ZANGO DINYA I,19/03/07/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57177/result_119523_1677607045_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,UNG. TAGWAI,19/03/07/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57176/result_119522_1677606190_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,RIMINDAKO C/GARI II,19/03/07/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57174/result_119520_1677605984_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,GJSS RIMIN DAKO (RIMINDAKO C/GARI I),19/03/07/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57173/result_119519_1677605830_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,R/DAKO PRI. SCH. II (RIMINDAKO C/GARI III),19/03/07/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57175/result_119521_1677605394_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,BUDEL I,19/03/07/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57171/result_119517_1677605177_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,BAURE C/GARI II,19/03/07/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57170/result_119516_1677603848_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,BAUJE HEALTH CENTER (BAUJE),19/03/07/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,BAGWAI,RIMIN DAKO,BADODO PRI. SCH. II (BADODO C/GARI II),19/03/07/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57167/result_119513_1677602805_thumb.jpg,false
KANO,BAGWAI,RIMIN DAKO,BADODO PRI. SCH. I (BADODO C/GARI I),19/03/07/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57166/result_119512_1677601683_thumb.jpg,false
