state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,BEBEJI,GWARMAI,DURMAWA SATA I,19/04/07/004,https://docs.inecelectionresults.net/elections/1292/1677749911-57391.pdf,true
KANO,BEBEJI,GWARMAI,TARAU HAYIN,19/04/07/017,https://docs.inecelectionresults.net/elections/1292/1677749852-57404.pdf,true
KANO,BEBEJI,GWARMAI,ATUMBU,19/04/07/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/57297/result_119660_1677506151_thumb.jpg,true
KANO,BEBEJI,GWARMAI,TARAU BARODO,19/04/07/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57403/57403-1677527466.pdf,false
KANO,BEBEJI,GWARMAI,SATA II,19/04/07/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57402/57402-1677527156.pdf,false
KANO,BEBEJI,GWARMAI,SATA I,19/04/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57401/57401-1677526612.pdf,false
KANO,BEBEJI,GWARMAI,NAMADIGA,19/04/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57400/57400-1677526203.pdf,false
KANO,BEBEJI,GWARMAI,GALADIMAWA ISLAMIYYA,19/04/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57398/57398-1677525733.pdf,false
KANO,BEBEJI,GWARMAI,GALADIMAWA,19/04/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57397/57397-1677525195.pdf,false
KANO,BEBEJI,GWARMAI,"GWARMAI , CIKIN GARI II",19/04/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57396/57396-1677524977.pdf,false
KANO,BEBEJI,GWARMAI,"GWARMAI, CIKIN GARI I",19/04/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57395/57395-1677524532.pdf,false
KANO,BEBEJI,GWARMAI,GWARMAI K/FADA III,19/04/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57394/57394-1677523223.pdf,false
KANO,BEBEJI,GWARMAI,GWARMAI K/FADA II,19/04/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57393/57393-1677522853.pdf,false
KANO,BEBEJI,GWARMAI,GWARMAI K/FADA I,19/04/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57392/57392-1677522523.pdf,false
KANO,BEBEJI,GWARMAI,DUNDU,19/04/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57390/57390-1677521436.pdf,false
KANO,BEBEJI,GWARMAI,ATUMBU DANMAKO,19/04/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57389/57389-1677521034.pdf,false
KANO,BEBEJI,GWARMAI,HAYIN GWARMAI DINDU,19/04/07/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3475/ward/21818/pu/57399/57399-1677519650.pdf,false
