state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,FAGGE,FAGGE D,KAMPALA VII,19/12/04/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58979/result_121928_1677587461_thumb.jpg,false
KANO,FAGGE,FAGGE D,GSS WAPA IV,19/12/04/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/644109/result_121942_1677590176_thumb.jpg,false
KANO,FAGGE,FAGGE D,GIDAN M/UNGUWA I,19/12/04/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58970/result_121919_1677584383_thumb.jpg,false
KANO,FAGGE,FAGGE D,GSS WAPA I,19/12/04/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/644106/result_121939_1677589541_thumb.jpg,false
KANO,FAGGE,FAGGE D,GSS WAPA III,19/12/04/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/644108/result_121941_1677589969_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA V,19/12/04/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58977/result_121926_1677586888_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA VI,19/12/04/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58978/result_121927_1677587303_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA II,19/12/04/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58974/result_121923_1677585382_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. III,19/12/04/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58985/result_121934_1677588516_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. I,19/12/04/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58983/result_121932_1677588250_thumb.jpg,false
KANO,FAGGE,FAGGE D,GSS WAPA II,19/12/04/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/644107/result_121940_1677589690_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA III,19/12/04/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58975/result_121924_1677586162_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. II,19/12/04/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58984/result_121933_1677588369_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA VIII,19/12/04/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58980/result_121929_1677587689_thumb.jpg,false
KANO,FAGGE,FAGGE D,GIDAN M/UNGUWA II,19/12/04/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58971/result_121920_1677584632_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. VI,19/12/04/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58988/result_121937_1677589267_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA I,19/12/04/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58973/result_121922_1677585164_thumb.jpg,false
KANO,FAGGE,FAGGE D,GIDAN M/UNGUWA III,19/12/04/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58972/result_121921_1677584877_thumb.jpg,false
KANO,FAGGE,FAGGE D,GSS WAPA V,19/12/04/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/644110/result_121943_1677590283_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA IX,19/12/04/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58981/result_121930_1677587889_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. VII,19/12/04/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58989/result_121938_1677589406_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA X,19/12/04/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58982/result_121931_1677587985_thumb.jpg,false
KANO,FAGGE,FAGGE D,KAMPALA IV,19/12/04/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58976/result_121925_1677586746_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. IV,19/12/04/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/58986/result_121935_1677588779_thumb.jpg,false
KANO,FAGGE,FAGGE D,KUKA P.S. V,19/12/04/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
