state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,KUMBOTSO,KUREKEN SANI,MAGADAWA I,19/25/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61630/61630-1677575750.pdf,true
KANO,KUMBOTSO,KUREKEN SANI,YANSANGO I,19/25/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61632/61632-1677572657.pdf,true
KANO,KUMBOTSO,KUREKEN SANI,YANSHANA PRIMARY SCHOOL III,19/25/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149840/149840-1677497494.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,MAGADAWA,19/25/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61629/61629-1677497086.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,KUREKEN SANI PRIMARY SCHOOL II,19/25/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149835/149835-1677496541.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,KUREKEN SANI PRIMARY SCHOOL IV,19/25/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149837/149837-1677496171.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANGIZO,19/25/07/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149842/149842-1677495898.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,KUREKEN SANI KAROFI ISLAMIYYA,19/25/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149839/149839-1677495510.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANSHANA I,19/25/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61634/61634-1677494853.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANHAMAR OPEN SPACE II,19/25/07/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149844/149844-1677494400.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,KUREKEN SANI PRIMARY SCHOOL III,19/25/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149836/149836-1677493923.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANSHANGO PRIMARY SCHOOL III,19/25/07/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149843/149843-1677493423.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANHAMAR,19/25/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61631/61631-1677492682.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,KUREKEN SANI PRIMARY SCHOOL V,19/25/07/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149838/149838-1677492319.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANSHANA MODEL HEALTH CARE,19/25/07/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149841/149841-1677491905.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,KUREKEN SANI PRIMARY SCHOOL,19/25/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61628/61628-1677491518.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,MAGADAWA PRIMARY SCHOOL III,19/25/07/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/149845/149845-1677490957.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANSANGO II,19/25/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61633/61633-1677490465.pdf,false
KANO,KUMBOTSO,KUREKEN SANI,YANSHANA II,19/25/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3496/ward/22051/pu/61635/61635-1677489996.pdf,false
