state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,MADOBI,MADOBI,GORA-TOKA I,19/28/10/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62043/result_126194_1677665086_thumb.jpg,false
KANO,MADOBI,MADOBI,UNGUWAR ZANTA/BAURE I,19/28/10/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62046/result_126197_1677650546_thumb.jpg,false
KANO,MADOBI,MADOBI,GORA-TOKA II,19/28/10/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62044/result_126195_1677650422_thumb.jpg,false
KANO,MADOBI,MADOBI,SHAFA-DIMI II,19/28/10/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62042/result_126193_1677650196_thumb.jpg,false
KANO,MADOBI,MADOBI,SHAFA-DIMI I,19/28/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62041/result_126192_1677650032_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA V,19/28/10/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62040/result_126191_1677649851_thumb.jpg,false
KANO,MADOBI,MADOBI,MADOBI IYA II,19/28/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62030/result_126181_1677644956_thumb.jpg,false
KANO,MADOBI,MADOBI,JAJAWA POST OFFICE II (JAJAWA II),19/28/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62034/result_126185_1677644785_thumb.jpg,false
KANO,MADOBI,MADOBI,JAJAWA POST OFFICE III (JAJAWA III),19/28/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62035/result_126186_1677644653_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA I,19/28/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62036/result_126187_1677644407_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA II,19/28/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62037/result_126188_1677644028_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA III,19/28/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62038/result_126189_1677643765_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA IV,19/28/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62039/result_126190_1677603875_thumb.jpg,false
KANO,MADOBI,MADOBI,TUDUN-WADA,19/28/10/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62045/result_126196_1677603537_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA VII,19/28/10/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,MADOBI,MADOBI,JAJAWA POST OFFICE I (JAJAWA I),19/28/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62033/result_126184_1677603028_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA VIII,19/28/10/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/645313/result_126205_1677602442_thumb.jpg,false
KANO,MADOBI,MADOBI,SABON GARI/MAKAMA VI,19/28/10/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/645311/result_126203_1677602020_thumb.jpg,false
KANO,MADOBI,MADOBI,MADOBI IYA IV,19/28/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,MADOBI,MADOBI,MODOBI IYA VIII,19/28/10/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,MADOBI,MADOBI,MADOBI IYA V,19/28/10/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/645307/result_126199_1677601916_thumb.jpg,false
KANO,MADOBI,MADOBI,MADOBI IYA III,19/28/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62031/result_126182_1677601508_thumb.jpg,false
KANO,MADOBI,MADOBI,MADOBI IYA VI,19/28/10/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/645308/result_126200_1677601388_thumb.jpg,false
KANO,MADOBI,MADOBI,TUDUN WADA II,19/28/10/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/645314/result_126206_1677601201_thumb.jpg,false
KANO,MADOBI,MADOBI,MODOBI IYA VII,19/28/10/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,MADOBI,MADOBI,UNGUWAR ZANTA/BAURE II,19/28/10/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KANO,MADOBI,MADOBI,MADOBI IYA I,19/28/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/62029/result_126180_1677599598_thumb.jpg,false
