state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,TUDUN WADA,BURUMBURUM,CHURI - OPEN SPACE,19/41/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64241/64241-1677770411.pdf,false
KANO,TUDUN WADA,BURUMBURUM,SHUNI - PRIMARY SCHOOL,19/41/02/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64248/64248-1677680611.pdf,false
KANO,TUDUN WADA,BURUMBURUM,BURUM BURUM KOFAR KUDU,19/41/02/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/150981/150981-1677679988.pdf,true
KANO,TUDUN WADA,BURUMBURUM,BURUM BURUM  UNG.MAHAUTA,19/41/02/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/150980/150980-1677679824.pdf,false
KANO,TUDUN WADA,BURUMBURUM,BURUM BURUM ISLAMIYA PRI. SCH. UNG/KOFA,19/41/02/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/150979/150979-1677679560.pdf,true
KANO,TUDUN WADA,BURUMBURUM,BURUM BURUM C/GARI KOFAR FADA,19/41/02/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/150978/150978-1677679404.pdf,false
KANO,TUDUN WADA,BURUMBURUM,ZAIGA - PRIMARY SCHOOL III,19/41/02/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64254/64254-1677679097.pdf,false
KANO,TUDUN WADA,BURUMBURUM,ZAIGA - PRIMARY SCHOOL II,19/41/02/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64253/64253-1677678984.pdf,false
KANO,TUDUN WADA,BURUMBURUM,ZAIGA - PRIMARY SCHOOL I,19/41/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64252/64252-1677678792.pdf,false
KANO,TUDUN WADA,BURUMBURUM,ZANGO - PRIMARY SCHOOL II,19/41/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64251/64251-1677678676.pdf,false
KANO,TUDUN WADA,BURUMBURUM,UNGUWA GABAS - PRIMARY SCHOOL II,19/41/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64250/64250-1677678549.pdf,false
KANO,TUDUN WADA,BURUMBURUM,UNGUWA GABAS - PRIMARY SCHOOL I,19/41/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64249/64249-1677678435.pdf,true
KANO,TUDUN WADA,BURUMBURUM,SHARA - PRIMARY SCHOOL,19/41/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64247/64247-1677678294.pdf,false
KANO,TUDUN WADA,BURUMBURUM,KWAZAZZABO - PRIMARY SCHOOL,19/41/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64246/64246-1677678027.pdf,false
KANO,TUDUN WADA,BURUMBURUM,KAFI - TASHAR MANGWARO,19/41/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64245/64245-1677677888.pdf,false
KANO,TUDUN WADA,BURUMBURUM,KAFI - PRIMARY SCHOOL,19/41/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64244/64244-1677677762.pdf,true
KANO,TUDUN WADA,BURUMBURUM,GACHA - PRIMARY SCHOOL,19/41/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64243/64243-1677677609.pdf,true
KANO,TUDUN WADA,BURUMBURUM,FALA TSOHON GARI C/GARI - PRIMARY SCHOOL,19/41/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64242/64242-1677677402.pdf,true
KANO,TUDUN WADA,BURUMBURUM,CHAKWADO - PRIMARY SCHOOL II,19/41/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64240/64240-1677677237.pdf,false
KANO,TUDUN WADA,BURUMBURUM,CHAKWADO - PRIMARY SCHOOL I,19/41/02/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64239/64239-1677677056.pdf,false
KANO,TUDUN WADA,BURUMBURUM,BURUMBURUM C/GARI - PRIMARY SCHOOL III,19/41/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64238/64238-1677676793.pdf,false
KANO,TUDUN WADA,BURUMBURUM,BURUMBURUM C/GARI - PRIMARY SCHOOL I,19/41/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64237/64237-1677676608.pdf,true
KANO,TUDUN WADA,BURUMBURUM,BURUMBURUM C/GARI - PRIMARY SCHOOL II,19/41/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22220/pu/64236/64236-1677676364.pdf,false
