state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KANO,TUDUN WADA,KAREFA,MAITURMI PRY SCH,19/41/06/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64326/64326-1677767218.pdf,false
KANO,TUDUN WADA,KAREFA,YALWAN RUGU-RUGU PRI. SCH III,19/41/06/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/150991/150991-1677767052.pdf,true
KANO,TUDUN WADA,KAREFA,UNG. KAMFA,19/41/06/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/150989/150989-1677766890.pdf,false
KANO,TUDUN WADA,KAREFA,YALWAN RUGU RUGU - PRIMARY SCHOOL I,19/41/06/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64334/64334-1677766684.pdf,false
KANO,TUDUN WADA,KAREFA,JAROJI PRY SCH,19/41/06/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64332/64332-1677766522.pdf,false
KANO,TUDUN WADA,KAREFA,FADA YAYA OPEN SPACE II,19/41/06/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64331/64331-1677766352.pdf,false
KANO,TUDUN WADA,KAREFA,GISHIRYA PRY SCH,19/41/06/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64330/64330-1677766172.pdf,false
KANO,TUDUN WADA,KAREFA,KAREFA PRY SCHOOL IV,19/41/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64319/64319-1677765701.pdf,false
KANO,TUDUN WADA,KAREFA,TANIGEL PRY SCH,19/41/06/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64325/64325-1677765490.pdf,false
KANO,TUDUN WADA,KAREFA,KAREFA PRY SCHOOL III,19/41/06/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64318/64318-1677764662.pdf,false
KANO,TUDUN WADA,KAREFA,KAREFA PRY SCHOOL II,19/41/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3512/ward/22224/pu/64317/64317-1677764469.pdf,false
KANO,TUDUN WADA,KAREFA,KAREFA PRY SCHOOL I,19/41/06/001,,false
KANO,TUDUN WADA,KAREFA,MALAMAWA,19/41/06/006,,false
KANO,TUDUN WADA,KAREFA,G/DIKKO OPEN SPACE,19/41/06/008,,false
KANO,TUDUN WADA,KAREFA,DORAYI PRY SCH II,19/41/06/013,,false
KANO,TUDUN WADA,KAREFA,S/RAURA PRY SCH,19/41/06/018,,false
KANO,TUDUN WADA,KAREFA,UNG. MALAM BALA PRY SCH,19/41/06/009,,false
KANO,TUDUN WADA,KAREFA,FADA YAYA OPEN SPACE I,19/41/06/014,,false
KANO,TUDUN WADA,KAREFA,G/MAIGADA OPEN SPACE,19/41/06/007,,false
KANO,TUDUN WADA,KAREFA,DORAYI PRY SCH I,19/41/06/012,,false
KANO,TUDUN WADA,KAREFA,TITIN DORAYI BY KAMFA,19/41/06/022,,false
KANO,TUDUN WADA,KAREFA,JATARAI PRY SCH,19/41/06/005,,false
KANO,TUDUN WADA,KAREFA,YALWAN RUGU RUGU - PRIMARY SCHOOL II,19/41/06/020,,false
