state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KATSINA,BATAGARAWA,TSANNI,RAHAJE - RAHAJE,20/02/05/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65096/result_130604_1677588372_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,YARBARZA - YARBARZA,20/02/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65098/result_130606_1677590995_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,TSANNI NORHT TSANNI NORTH,20/02/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65092/result_130600_1677592859_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,KOFAR FADA - KOFAR FADA,20/02/05/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65091/result_130599_1677593845_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,MAI LALLE - MAI LALLE,20/02/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65093/result_130601_1677592442_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,ALALE - ALALE,20/02/05/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65095/result_130603_1677600922_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,KUNDU WAJE - KUNDU WAJE,20/02/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65097/result_130605_1677600467_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,MAKANTANAWA - MAKANTAWA,20/02/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65094/result_130602_1677599848_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,RUGOJI - RUGOJI,20/02/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65100/result_130608_1677598543_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,YARBARZA DISPENSARY,20/02/05/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KATSINA,BATAGARAWA,TSANNI,TSANNI - TSANNI 'B',20/02/05/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/646680/result_130613_1677593875_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,MARNA KOFAR AREWA,20/02/05/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/646676/result_130609_1677593448_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,TSANNI- TSANNI,20/02/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65099/result_130607_1677592536_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,RAHAJE ALKALAWA,20/02/05/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/646678/result_130611_1677591002_thumb.jpg,false
KATSINA,BATAGARAWA,TSANNI,TSANNI NORTH - TSANNI NORTH 'B',20/02/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/646677/result_130610_1677590285_thumb.jpg,false
