state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KATSINA,BAURE,MAI BARA,KAWARI MAI CIBI B,20/04/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/646757/result_131078_1677689635_thumb.jpg,false
KATSINA,BAURE,MAI BARA,MAIBARA KURI - KOFAR MAIGARI,20/04/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65468/result_131073_1677657565_thumb.jpg,false
KATSINA,BAURE,MAI BARA,MAIBARA 1 B,20/04/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/646755/result_131076_1677600500_thumb.jpg,false
KATSINA,BAURE,MAI BARA,KIRINIYA - KOFAR MAIGARI,20/04/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65470/result_131075_1677599622_thumb.jpg,false
KATSINA,BAURE,MAI BARA,MAIBARA FULANI - KOFAR HARDO,20/04/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65467/result_131072_1677592523_thumb.jpg,false
KATSINA,BAURE,MAI BARA,KWARIN GAWASA - CIKIN GARI,20/04/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65465/result_131070_1677591612_thumb.jpg,false
KATSINA,BAURE,MAI BARA,GWARANDAMA - PRI SCHOOL,20/04/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65469/result_131074_1677593288_thumb.jpg,false
KATSINA,BAURE,MAI BARA,UNG.DELU - CIKIN GARI,20/04/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65464/result_131069_1677591230_thumb.jpg,false
KATSINA,BAURE,MAI BARA,MAIBARA II - PRIMARY SCHOOL,20/04/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65462/result_131067_1677590994_thumb.jpg,false
KATSINA,BAURE,MAI BARA,KAWARI MAI CIBI - KOFAR MAIGARI,20/04/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65463/result_131068_1677591077_thumb.jpg,true
KATSINA,BAURE,MAI BARA,MAIBARA I - PRIMARYSCHOOL,20/04/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65461/result_131066_1677590712_thumb.jpg,false
KATSINA,BAURE,MAI BARA,ACHAKWALE - PRIM. SCHOOL,20/04/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/65466/result_131071_1677592179_thumb.jpg,false
KATSINA,BAURE,MAI BARA,MAIBARA 11 B,20/04/10/012,,false
