state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KATSINA,DAN MUSA,DANDIRE A,DANDIRE 'A' DISPENSARY,20/09/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/66099/result_131913_1677596549_thumb.jpg,false
KATSINA,DAN MUSA,DANDIRE A,DANDIRE 'B' PRI.SCHOOL,20/09/08/002,,false
KATSINA,DAN MUSA,DANDIRE A,FARWA PRI.SCHOOL,20/09/08/006,,false
KATSINA,DAN MUSA,DANDIRE A,YAR -YARA,20/09/08/011,,false
KATSINA,DAN MUSA,DANDIRE A,FARWA BURWAYE FARWA BURWAYE,20/09/08/007,,false
KATSINA,DAN MUSA,DANDIRE A,KABUKE 'B' PRI.SCHOOL,20/09/08/005,,false
KATSINA,DAN MUSA,DANDIRE A,AWALAR MAI KANO - A. MAI KANO,20/09/08/010,,false
KATSINA,DAN MUSA,DANDIRE A,KABUKE A PRI SCHOOL,20/09/08/004,,false
KATSINA,DAN MUSA,DANDIRE A,AJIWA/MAI KWAURA - AJIWA/MAI KWAURA,20/09/08/009,,false
KATSINA,DAN MUSA,DANDIRE A,DANDIRE UNG.DAU - UNG. DAU,20/09/08/003,,false
KATSINA,DAN MUSA,DANDIRE A,KAIGA GARI PRI SCHOOL,20/09/08/008,,false
