state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KATSINA,DUTSIN-MA,KAROFI B,PHC KAROFI,20/12/05/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647093/result_132385_1677588284_thumb.jpg,false
KATSINA,DUTSIN-MA,KAROFI B,KUKI ROAD TRANSFORMER,20/12/05/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/013/013-1677378964.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,GDSS KAROFI,20/12/05/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/012/012-1677378701.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,DISPENSARY RAI,20/12/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/007/007-1677378431.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,GIDAN/LIYA KARHI,20/12/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/008/008-1677378262.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,BAKIN KASUWA KOFAR YAMMA,20/12/05/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/009/009-1677378161.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,PRI.SCHOOL FAGUWA,20/12/05/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/006/006-1677377627.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,OPEN SPACE KOFAR FADA,20/12/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/005/005-1677377500.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,K/G/A ISA DAKA,20/12/05/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/004/004-1677377296.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,PRI.SCHOOL TSAKA/DAGURBA,20/12/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/003/003-1677377225.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,PRI.SCHOOL KATANGA,20/12/05/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/002/002-1677376996.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,K/G MAGAJI DUNYA JANGANTA,20/12/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/001/001-1677376744.pdf,false
KATSINA,DUTSIN-MA,KAROFI B,T.V CENTRE SABUWAR TASHA,20/12/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/12/ward/05/pu/010/010-1677371872.pdf,false
