state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KATSINA,KAFUR,YARTALATA/RIGOJI,KURMI PRI. SCHOOL,20/17/01/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647427/result_133400_1677701940_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,YARTALATA III KOFAR GIDAN MAI UNGUWA,20/17/01/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/67220/result_133396_1677691902_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,"K/FADA, YARTALATA OPEN SPACE",20/17/01/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647429/result_133402_1677690489_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,KURMI III OPEN SPACE,20/17/01/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647428/result_133401_1677690329_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,BUGAWA PRI. SCHOOL,20/17/01/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647426/result_133399_1677689678_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,RIGOJI K/FADA OPEN SPACE,20/17/01/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647425/result_133398_1677689497_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,YARTALATA I PRI.SCHOOL,20/17/01/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/67218/result_133394_1677689150_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,RIGOJI PRI. SCHOOL,20/17/01/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/647424/result_133397_1677688956_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,YARTALATA II KOFAR FADA,20/17/01/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/67219/result_133395_1677687010_thumb.jpg,false
KATSINA,KAFUR,YARTALATA/RIGOJI,DAYAWA II KOFAR GIDAN MAIUNGUWA,20/17/01/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/67217/result_133393_1677686828_thumb.jpg,false
