state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KATSINA,MUSAWA,TUGE,TSABE-TSABE II PRI SCH,20/29/06/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/648125/result_136094_1677617652_thumb.jpg,false
KATSINA,MUSAWA,TUGE,DANBASSA / WALKI WALKI II  (DURUMI),20/29/06/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/648124/result_136093_1677612028_thumb.jpg,false
KATSINA,MUSAWA,TUGE,TUGE III -TUGE PRI SCH,20/29/06/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/648126/result_136095_1677611960_thumb.jpg,false
KATSINA,MUSAWA,TUGE,FENTEKA ZURI - ZURI PRI.SCHOOL,20/29/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69139/result_136085_1677611893_thumb.jpg,false
KATSINA,MUSAWA,TUGE,TUGE I - TUGE PRI.SCHOOL,20/29/06/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KATSINA,MUSAWA,TUGE,KARO - KARO PRI.SCHOOL,20/29/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69140/result_136086_1677611758_thumb.jpg,false
KATSINA,MUSAWA,TUGE,DANBASSA / WALKI - WALKI (DURUMI),20/29/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69141/result_136087_1677611677_thumb.jpg,false
KATSINA,MUSAWA,TUGE,TSABE - TSABE PRI.SCHOOL,20/29/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69142/result_136088_1677611619_thumb.jpg,false
KATSINA,MUSAWA,TUGE,FANTEKA - FANTEKA PRI.SCHOOL,20/29/06/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69143/result_136089_1677611551_thumb.jpg,false
KATSINA,MUSAWA,TUGE,KAKUNI - KAKUNI PRI SCHOOL,20/29/06/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69144/result_136090_1677611486_thumb.jpg,false
KATSINA,MUSAWA,TUGE,SALIHAWA - SALIHAWA PRI.SCHOOL,20/29/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/69145/result_136091_1677611421_thumb.jpg,false
KATSINA,MUSAWA,TUGE,TUGE II - TUGE PRI.SCHOOL,20/29/06/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
