state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KEBBI,BIRNIN KEBBI,GWADANGAJI,KABAWA  KABAWA MASSACINCI,21/06/08/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71167/71167-1677597035.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,GAZO  G/DIKKO GAZO,21/06/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71170/71170-1677596227.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,KASUWA DAJI,21/06/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71171/71171-1677595875.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,GIGAJI MASALLACI (DAN - FILI),21/06/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71172/71172-1677528849.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,KAWARA  G/UBANDAWAKI KAWARA,21/06/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71169/71169-1677528230.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,KASUWA DAJI DARBEJUN ALA,21/06/08/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153483/153483-1677528065.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,BUSAWA  GMAIRIGA WAKILI,21/06/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71165/71165-1677527145.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,BUSAWA FILIN SADO BAWA KADE,21/06/08/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153479/153479-1677526636.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,BANIGATARI  G/MAGAJI,21/06/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71166/71166-1677526266.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,BANI GATARI SHARI'A COURT,21/06/08/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153480/153480-1677525924.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,YAWURAWA  G/SABO WAKILI,21/06/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71164/71164-1677503875.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,KABAWA GIDAN RUWA,21/06/08/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153481/153481-1677503640.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,YAWURAWA INJIMIN ZUHURI,21/06/08/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153478/153478-1677500946.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,GWADANGAJI MDGS CLINIC,21/06/08/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153484/153484-1677500493.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,GWADAN GAJI M.P.S. GWANDANGAJI,21/06/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71162/71162-1677500015.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,BANIGATARI/YAMMANUARI G/HAKIMI YAMMARI,21/06/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71163/71163-1677499339.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,ALEIRO QUARTERS MPS,21/06/08/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153475/153475-1677498406.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,BUSAWA  KASUWAR DAJI BUSAWA,21/06/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/71168/71168-1677497230.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,PEARL HARBOUR MODEL ACADEMY GWADANGAJI,21/06/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153472/153472-1677496515.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,ALIERO QUARTERS GIDAN RUWA,21/06/08/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153474/153474-1677495771.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,YARMAMARI GIDAN RUWA GWADANGAJI,21/06/08/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153477/153477-1677495396.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,KABAWA KASUWAR GARI,21/06/08/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153482/153482-1677494360.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,GWADANGAJI MPS NURSERY SECTION II,21/06/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22687/pu/153471/153471-1677494037.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,GWADANGAJI TASHA,21/06/08/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/08/pu/014/014-1677413241.pdf,false
KEBBI,BIRNIN KEBBI,GWADANGAJI,DANMANYA ANIMAL CHEMIST,21/06/08/017,,false
