state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KEBBI,BIRNIN KEBBI,LAGGA,BAME MAIRUWA  G/MALAM SALIHU,21/06/12/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71219/71219-1677511187.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,G. MARAFA (DAN-FILI) KARDI,21/06/12/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71221/71221-1677510547.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,BAME FADAMA  G/H/BAME FADAMA,21/06/12/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71212/71212-1677509291.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,JANZOMO  G/KAKARE,21/06/12/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71214/71214-1677507896.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,G/ ADAMU  WAKILI,21/06/12/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71220/71220-1677504801.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,JANZOMO  BAKIN KASUWA JANZOMO,21/06/12/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71215/71215-1677500590.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,JANZOMO MPS,21/06/12/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/153505/153505-1677496970.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,BAME RUNJI  G/H/BAME RUNJI,21/06/12/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71213/71213-1677495419.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,LAGGA  G/ADAMU WAKILI,21/06/12/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71218/71218-1677494339.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,LAGGA  G/HAKIMIN LAGGA,21/06/12/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71211/71211-1677492874.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,RANDALI  G/ALH. SHEHU,21/06/12/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22691/pu/71217/71217-1677491618.pdf,false
KEBBI,BIRNIN KEBBI,LAGGA,RANDALI  G/MARAFA,21/06/12/006,,false
