state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KEBBI,BIRNIN KEBBI,AMBURSA,FILIN TA JODI,21/06/14/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153520/153520-1677592304.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,RIJIYA TSOHUWA,21/06/14/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153519/153519-1677592112.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,AMBURSA  G/SANDA ROGO,21/06/14/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71238/71238-1677591836.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,AMBURSA  G/MIJIN DIYA,21/06/14/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71237/71237-1677591623.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,KASUWA KARAMA  BAKIN KASUWA KARAMA,21/06/14/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71236/71236-1677591183.pdf,true
KEBBI,BIRNIN KEBBI,AMBURSA,G/ MAI NUFAWA,21/06/14/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71241/71241-1677588683.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,AMBURSA  M.P.S. A AMBURSA,21/06/14/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71234/71234-1677588563.pdf,true
KEBBI,BIRNIN KEBBI,AMBURSA,MANGARAWA  G/H/MANGARAWA,21/06/14/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71233/71233-1677587402.pdf,true
KEBBI,BIRNIN KEBBI,AMBURSA,MUHAMMAD SULEMAN AMBURSA M.P.S II,21/06/14/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153510/153510-1677586997.pdf,true
KEBBI,BIRNIN KEBBI,AMBURSA,G/MAMMAN NA DIYA,21/06/14/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153516/153516-1677582191.pdf,true
KEBBI,BIRNIN KEBBI,AMBURSA,UPPER SHARI'A COURT AMBURSA,21/06/14/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153512/153512-1677533538.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,BAYERO ALIYU MPS AMBURSA,21/06/14/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153514/153514-1677532990.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,TAKALAU G/GARBA MAISHINKO,21/06/14/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153521/153521-1677531576.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,MUHAMMAD SULEMAN AMBURSA MPS ADMIN BLOCK III,21/06/14/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153511/153511-1677527116.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,AMBURSA  G/H/SARKIN HDTSI,21/06/14/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71232/71232-1677525574.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,FILIN SHEHU AMBURSA,21/06/14/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153515/153515-1677519600.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,MAKERAN FARI AMBURSA,21/06/14/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153517/153517-1677518869.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,FILIN DAN GANDU AMBURSA,21/06/14/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153518/153518-1677516833.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,ARBIU LADAN  G/HAKIMIN ARBIN LADAN,21/06/14/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71231/71231-1677514870.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,SABON BIRNI G/MAMMAN DIKKO,21/06/14/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/153513/153513-1677513086.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,AMBURSA  G/SHEHU ZANGO,21/06/14/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71239/71239-1677497592.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,NUFUWA  G / MAINU FAWA,21/06/14/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71240/71240-1677494396.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,AMBURSA  G/HAKIMIN DANGALADIMA,21/06/14/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3555/ward/22693/pu/71230/71230-1677493323.pdf,false
KEBBI,BIRNIN KEBBI,AMBURSA,KWADDAGA  G/HAKIMIN KWADDAGA,21/06/14/006,,false
