state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KEBBI,GWANDU,CHEBERU/BADA,MAMMAWA,21/10/01/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/010/010-1677423457.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,DANJEMA,21/10/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/004/004-1677422654.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,RUGGAR BOYE,21/10/01/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/007/007-1677422107.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,GANDATOBE,21/10/01/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/008/008-1677421621.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,AMORE BABBA - MAKARANTA,21/10/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/002/002-1677421084.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,PRIMARY HEALTH FACILITY WARARIN MAGAJI,21/10/01/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/017/017-1677420593.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,RANGO,21/10/01/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/012/012-1677420084.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,GANDU,21/10/01/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/014/014-1677419696.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,MAGUN,21/10/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/005/005-1677419116.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,AMORE BABBA  - D/ FILI,21/10/01/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/001/001-1677417684.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,GARIN BUNZUGU,21/10/01/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/015/015-1677417014.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,BADA,21/10/01/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/011/011-1677416150.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,AMORE ADUWOYI,21/10/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/003/003-1677413865.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,DANJEMA GABAS OPEN SPACE,21/10/01/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/016/016-1677411922.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,MAITSANE,21/10/01/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/009/009-1677407577.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,CHEBERU,21/10/01/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/006/006-1677404486.pdf,false
KEBBI,GWANDU,CHEBERU/BADA,WARARIN MAGAJI,21/10/01/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/01/pu/013/013-1677388617.pdf,false
