state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KEBBI,KOKO/BESSE,ILLELA/S/GARI,NANA AISHA MEMORIAL CLINIC KOKO,21/13/02/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649159/result_139190_1677616486_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,KOKO GOVERNMENT LODGE,21/13/02/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649160/result_139191_1677610962_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,SABON GARI GIDAN RUWA,21/13/02/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649158/result_139189_1677610706_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,SABON GARI,21/13/02/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649157/result_139188_1677610481_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,GIDAN WUTA R.E.B,21/13/02/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649156/result_139187_1677610412_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,SHIYAR MAKABARTA KOKO,21/13/02/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649155/result_139186_1677610337_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,SABON GARI OVERHEAD TANK,21/13/02/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649154/result_139185_1677610244_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,GOVERNMENT ALMAJIRI SCHOOL KOKO,21/13/02/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649153/result_139184_1677610087_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,SABON GARI MURTSATSE,21/13/02/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649152/result_139183_1677609979_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,NASSARAWA,21/13/02/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71187/result_139182_1677609885_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,TUNGAR ATTO,21/13/02/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71186/result_139181_1677609753_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,TUNGAR M. BAKO,21/13/02/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71185/result_139180_1677609584_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,ILLELA YAMMA,21/13/02/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71184/result_139179_1677609412_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,ILLELA GABAS,21/13/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71183/result_139178_1677609286_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,GWADABAWA,21/13/02/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71182/result_139177_1677609212_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,GARKAR UMARU BA'ARE II,21/13/02/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71181/result_139176_1677609111_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,GARKAR UMARU BA'ARE I,21/13/02/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71180/result_139175_1677609039_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,DAN DASHE,21/13/02/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71179/result_139174_1677608426_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,KAWON IDI TSOHO,21/13/02/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/71178/result_139173_1677608264_thumb.jpg,false
KEBBI,KOKO/BESSE,ILLELA/S/GARI,KOKO MAGAJI PRIMARY SCHOOL,21/13/02/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
