state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KEBBI,MAIYAMA,GIWA TAZO/ZARA,UNGUWAR KURYA DISPENSARY (UNGUWAR KURYA FILIN KASUWA),21/14/02/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72002/72002-1677683964.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,ZARA BIRNI PRI SCH (ZARA BIRNIN SHIYAR YAMMA ),21/14/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72009/72009-1677683716.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,GIWATAZO DISPENSARY (GIWATAZO HERE/SHIYAR HERE),21/14/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72008/72008-1677683435.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,OPEN SPACE (GEZOJI GARKAR HAKIMI),21/14/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72005/72005-1677683050.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,ZARA BIRNI DISPENSARY (ZARA BIRNI SHIYAR YAMMA),21/14/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72010/72010-1677682794.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,UNGUWAR KURYA PRI SCH (UNGUWAR KURYA GARBAR ALH BALA),21/14/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72003/72003-1677682478.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,ZARA NOMA PRI SCH (ZARA NOMA GARKAR HAKIMI),21/14/02/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72011/72011-1677681965.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,GIWATAZO PRI SCH (GIWATAZO FADA),21/14/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/71999/71999-1677681158.pdf,true
KEBBI,MAIYAMA,GIWA TAZO/ZARA,RAFIN TOFA PRI SCH (RAFIN TOFA),21/14/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/72006/72006-1677680976.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,GIWATAZO SHIYAR LIMAN DANFILI,21/14/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/153920/153920-1677680739.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,GIWATAZO MAHAUTA,21/14/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/153922/153922-1677679950.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,ZARA HILIN TUNI,21/14/02/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/153924/153924-1677679439.pdf,true
KEBBI,MAIYAMA,GIWA TAZO/ZARA,ZARA  BIRNI PRIMARY SCHOOL,21/14/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3563/ward/22770/pu/153923/153923-1677678933.pdf,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,TSALIBI PRI SCH (TSALIBI),21/14/02/003,,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,GIWATAZO PRI SCH (GIWATAZO GINGA),21/14/02/002,,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,NIKKI PRIMARY SCHOOL,21/14/02/015,,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,NIKKI PRI SCH (NIKKI FILIN KASUWA),21/14/02/009,,false
KEBBI,MAIYAMA,GIWA TAZO/ZARA,MAITAWAYE PRI SCH (MAITAWAYE),21/14/02/006,,false
