state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KOGI,ADAVI,NAGAZI FARM CENTRE,LGEA STANDARD SCH. OKUHAGO BACK OF EID PRAYER GROUND OZIOKUTU,22/01/10/034,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154392/154392-1677668322.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE BEHIND BUMARK FILLING STATION ZARIAGI KABBA-JUNCTION,22/01/10/043,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154401/154401-1677524987.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,LGEA SCH ZANGODAJI,22/01/10/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154403/154403-1677515174.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,"LGEA STANDARD SCH., ZANGODAJI",22/01/10/044,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154402/154402-1677514477.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE UNDER A TREE BESIDE MAJOR HITLER COMPOUND NAGAZI UVETE,22/01/10/042,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154400/154400-1677514384.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,GOVT.SCIENCE SEC. SCH OGAMINANA-NAGAZI UVETE,22/01/10/041,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154399/154399-1677514160.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE BY ABDULKAREEM MECHANIC WORKSHOP OPP. SMART FILLING STATION NAGAZI UVETE,22/01/10/040,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154398/154398-1677513954.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,NANAHAWA BELLO T. JUNCTION BY TRANSFORMER INESE NAGAZI UVETE,22/01/10/039,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154397/154397-1677513766.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE UHUSECHI STREET OPP. GAMJI FILLING STATION BESIDE LATE KEDY COMP. NAGAZI-UVETU,22/01/10/038,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154396/154396-1677513561.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,LOCAL GOVT. SCIENCE SECONDARY SCH. NAGAZI-EBA,22/01/10/037,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154395/154395-1677513176.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE UNDER TREE BESIDE CLASSIC HOTEL NAGAZI-EBA,22/01/10/036,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154394/154394-1677512955.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE ALH. IBRAHIM GIWA JUNTION NEW ZANGO OZIOKUTU,22/01/10/035,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154393/154393-1677512081.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,FOOTBALL FIELD NEAR MIKAB SCHOOL NAGAZI UVETE,22/01/10/033,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154391/154391-1677511858.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE  OPP. ACCESS BANK OZIOKUTU KABBA ROAD,22/01/10/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154390/154390-1677511662.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,OPEN SPACE URUKUNEBE BEHIND ANIKI CHURCH OZIOKUTU,22/01/10/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154389/154389-1677511437.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,LGEA OHI-OMATA SPECIAL NURSERY AND PRIMARY SCH OZIOKUTU,22/01/10/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/154388/154388-1677511271.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,ZARIAGI (KABBA JUNCTION) LGEA SCHOOL II,22/01/10/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73024/73024-1677511088.pdf,false
KOGI,ADAVI,NAGAZI FARM CENTRE,LGEA CATH. SCHOOL NAGAZI-UVETE III,22/01/10/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3571/ward/22861/pu/73023/73023-1677510694.pdf,false
