state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KOGI,ANKPA,ENJEMA II,ODOBI AFOR O/S,22/03/07/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649835/result_141212_1677769129_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,AFOR ETEKE JUNCTION O/S,22/03/07/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649834/result_141211_1677603861_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,AFOR OJEGBE CENTRE,22/03/07/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649833/result_141210_1677603622_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,FRONT OF CMML CHURCH O/S,22/03/07/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649831/result_141208_1677603401_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,ODETO AFOR OFUGO O/S,22/03/07/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649832/result_141209_1677601501_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"OFEAGO, OPEN SPACE",22/03/07/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649830/result_141207_1677600889_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,BESIDE OKPANACHI HOUSE O/S,22/03/07/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/649829/result_141206_1677600511_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"EGBOJE, OPEN SPACE",22/03/07/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72532/result_141205_1677599712_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"ODOBI/LOKOJA, OPEN SPACE",22/03/07/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72531/result_141204_1677599422_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"AFOR, OPEN SPACE",22/03/07/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72530/result_141203_1677599283_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"AFOR, BY MOTOR PARK",22/03/07/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72529/result_141202_1677599066_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"AFOR, L.G.E.A. SCHOOL AFOR GAM-GAM",22/03/07/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72528/result_141201_1677598327_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"OLUFOFO, OPEN SPACE",22/03/07/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72527/result_141200_1677597705_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"OLUFOFO, UNDER IROKO TREE",22/03/07/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72526/result_141199_1677597559_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,OFUGO ANGWA OPEN SPACE II,22/03/07/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
KOGI,ANKPA,ENJEMA II,"OJEKE, OPEN SPACE",22/03/07/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72522/result_141195_1677591650_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,UKPOLOBIA/OJEKE,22/03/07/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72521/result_141194_1677584494_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"OFUGO, BY AREA DEVELOPMENT OFFICE II",22/03/07/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72524/result_141197_1677592443_thumb.jpg,false
KOGI,ANKPA,ENJEMA II,"OFUGO, BY AREA DEVELOPMENT OFFICE I",22/03/07/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/72523/result_141196_1677592147_thumb.jpg,false
