state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KOGI,BASSA,GBOLOKO,EMI-DEDEBA LGEA SCHOOL EMI-DEDEBA,22/04/06/008,,false
KOGI,BASSA,GBOLOKO,EMI-AUDU OPEN SPACE EMI-AUDU,22/04/06/013,,false
KOGI,BASSA,GBOLOKO,EKIDO OPEN SPACE EKIDO,22/04/06/009,,false
KOGI,BASSA,GBOLOKO,"GBOLOKO II TOWN HALL, GBOLOKO",22/04/06/018,,false
KOGI,BASSA,GBOLOKO,OLOWA NEAR MARKET SQUARE OLOWA,22/04/06/006,,false
KOGI,BASSA,GBOLOKO,EMI-ERONU LGEA SCHOOL EMI-ERONU,22/04/06/014,,false
KOGI,BASSA,GBOLOKO,ATSAGBA-AGEDEGI OPEN SPACE ATSAGBA,22/04/06/011,,false
KOGI,BASSA,GBOLOKO,EMI-TSEJA OPEN SPACE,22/04/06/019,,false
KOGI,BASSA,GBOLOKO,EMI-AKPAMO - YAKUBU OPEN SPACE EMI-AKPAMO,22/04/06/016,,false
KOGI,BASSA,GBOLOKO,AKABE-EMI-LAFIA OPEN SPACE AKABE,22/04/06/005,,false
KOGI,BASSA,GBOLOKO,TAKETE LGEA SCHOOL TAKETE,22/04/06/010,,false
KOGI,BASSA,GBOLOKO,NYANKPO OPEN SPACE NYANKPO,22/04/06/015,,false
KOGI,BASSA,GBOLOKO,"EFFIN LGEA SCHOOL, EFFIN",22/04/06/007,,false
KOGI,BASSA,GBOLOKO,EMI-DALE-ANIKAO OPEN SPACE EMI-DALE,22/04/06/012,,false
KOGI,BASSA,GBOLOKO,GBOLOKO I OPEN SPACE,22/04/06/017,,false
KOGI,BASSA,GBOLOKO,ADUM-WOIWO LGEA SCHOOL ADUM-WOIWO,22/04/06/003,,false
KOGI,BASSA,GBOLOKO,"EMI-BOCI LGEA SCHOOL, EMI-BOCI",22/04/06/004,,false
KOGI,BASSA,GBOLOKO,GBOLOKO I OPEN SPACE,22/04/06/001,,false
KOGI,BASSA,GBOLOKO,GBOLOKO II LGEA CENTRAL SCHOOL GBOLOKO,22/04/06/002,,false
