state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KOGI,DEKINA,OJIKPADALA,"OFEJIJI , OPEN SPACE",22/05/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73549/73549-1677613474.pdf,false
KOGI,DEKINA,OJIKPADALA,OCHAJA II BOY'S SEC. SCHOOL,22/05/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73547/73547-1677612734.pdf,false
KOGI,DEKINA,OJIKPADALA,"OCHAJA I, OPEN SPACE",22/05/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73546/73546-1677612280.pdf,false
KOGI,DEKINA,OJIKPADALA,L.G.E.A PRIMARY SCHOOL ALOME EWUNE,22/05/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/154689/154689-1677609576.pdf,false
KOGI,DEKINA,OJIKPADALA,OPEN SPACE AGBEJI OGANE,22/05/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/154688/154688-1677607791.pdf,false
KOGI,DEKINA,OJIKPADALA,OPEN SPACE AGBEJI  OJIMELE,22/05/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/154687/154687-1677607359.pdf,true
KOGI,DEKINA,OJIKPADALA,OPEN SPACE OJIKPADALA ATE,22/05/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/154686/154686-1677606706.pdf,true
KOGI,DEKINA,OJIKPADALA,OPEN SPACE AJONUCHEGBO II,22/05/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/154685/154685-1677606114.pdf,true
KOGI,DEKINA,OJIKPADALA,AGBEJI OJIKPADALA II OPEN SPACE,22/05/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73551/73551-1677605780.pdf,true
KOGI,DEKINA,OJIKPADALA,"OKAGU , OPEN SPACE",22/05/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73550/73550-1677604617.pdf,false
KOGI,DEKINA,OJIKPADALA,"ALADE , OPEN SPACE",22/05/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73544/73544-1677596823.pdf,true
KOGI,DEKINA,OJIKPADALA,"OJUWO AJONUCHEGBO , OPEN SPACE",22/05/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73543/73543-1677590626.pdf,true
KOGI,DEKINA,OJIKPADALA,"AGBEJI OJIKPADALA , OPEN SPACE",22/05/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73542/73542-1677589035.pdf,false
KOGI,DEKINA,OJIKPADALA,"OJIKPADALA , OPEN SPACE",22/05/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3575/ward/22908/pu/73541/73541-1677588128.pdf,true
KOGI,DEKINA,OJIKPADALA,"ABEJUKOLO , OPEN SPACE",22/05/09/005,,false
KOGI,DEKINA,OJIKPADALA,EWUNE LGEA PRI. SCHOOL,22/05/09/008,,false
