state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL OBANGEDE II,22/16/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74683/74683-1677683912.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL OBANGEDE III,22/16/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74684/74684-1677683430.pdf,true
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL OBANGEDE IV,22/16/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74685/74685-1677683285.pdf,true
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL OGOGORO I,22/16/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74686/74686-1677682977.pdf,true
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL OGOGORO II,22/16/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74687/74687-1677682830.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,OPPOSITE F.C.E CAMPUS I,22/16/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74695/74695-1677680552.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL UHUODO IV,22/16/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3586/ward/23033/pu/74693/74693-1677676844.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,OPEN SPACE EIKA - EBA,22/16/10/013,,true
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL UHUODO III,22/16/10/011,,true
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL UHUODO II,22/16/10/010,,false
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL UHUODO I,22/16/10/009,,false
KOGI,OKEHI,OBANGEDE / UHUODO,SCHOOL OF NURSING ROAD,22/16/10/008,,true
KOGI,OKEHI,OBANGEDE / UHUODO,DISPENSARY QUARTERS OBANGEDE,22/16/10/007,,true
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL OBANGEDE I,22/16/10/001,,false
KOGI,OKEHI,OBANGEDE / UHUODO,OPPOSITE F.C.E CAMPUS II,22/16/10/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/015/015-1677411163.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,L.G.E.A SCHOOL UHUODO V,22/16/10/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/016/016-1677410747.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,"LGEA PRIMARY SCHOOL, EIKA ADAGU NEW LAYOUT",22/16/10/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/017/017-1677409339.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,OPEN SPACE NEAR EID PRAYING GROUND EIKA ADAGU,22/16/10/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/018/018-1677408886.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,"OPEN SPACE NEAR DIVINE GROUP OF SCHOOLS ANOMI, EIKA ADAGU ZONE D AJIVOGU SRTEET.",22/16/10/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/019/019-1677408531.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,"OPEN SPACE NEAR TRANSFORMER BEHIND TOTAL FILLING STATION,OTITE.",22/16/10/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/020/020-1677407713.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,OPEN SPACE NEAR GENERAL BOLEHOLE OKUHAPA/EBA OBANGEDE,22/16/10/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/021/021-1677407272.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,"OPEN SPACE OKUHA-OSORU, INFRONT OF URERE TREE",22/16/10/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/022/022-1677406947.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,"COMMUNITY SECONDARY SCHOOL, OBANGEDE",22/16/10/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/024/024-1677406448.pdf,false
KOGI,OKEHI,OBANGEDE / UHUODO,"OPEN SPACE INFRONT OF CIVIC CENTER, OBANGEDE",22/16/10/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/10/pu/023/023-1677405650.pdf,false
