state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KWARA,ILORIN EAST,MAYA/ILE-APA,MAYA L.G.E.A. SCH,23/06/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/75450/result_69248_1677756177_thumb.jpg,false
KWARA,ILORIN EAST,MAYA/ILE-APA,OKE-ODO,23/06/10/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/017/017-1677416036.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,ARAMONU L.G.E.A. SCH,23/06/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/001/001-1677413742.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,OHA ISSA,23/06/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/008/008-1677413173.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,OHA GBAGI,23/06/10/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/013/013-1677412581.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,BUDO  ALFA,23/06/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/004/004-1677410694.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,OHA L.G.E.A. SCH,23/06/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/009/009-1677410249.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,BUDO ARE L.G.E.A. SCH,23/06/10/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/016/016-1677410035.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,AKE L.G.E.A. SCH,23/06/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/007/007-1677409174.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,LAJIKI L.G.E.A. SCH I,23/06/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/014/014-1677407926.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,ALASE HEALTH CENTRE,23/06/10/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/021/021-1677407761.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,ALASE L.G.E.A. SCH,23/06/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/012/012-1677407168.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,LAJIKI L.G.E.A. SCH II,23/06/10/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/015/015-1677407122.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,LAJIKI L.G.E.A. SCH,23/06/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/010/010-1677406762.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,OPEN SPACE ATERE VILLAGE,23/06/10/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/019/019-1677406005.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,ODE BALE ATIKAN,23/06/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/005/005-1677405370.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,OPEN SPACE AGA ILE APA,23/06/10/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/020/020-1677405199.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,ILE ADAN,23/06/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/011/011-1677404879.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,BUDO ARE L.G.E.A. SCH,23/06/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/006/006-1677404451.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,AKE L.G.E.A. SCH,23/06/10/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/018/018-1677403990.pdf,false
KWARA,ILORIN EAST,MAYA/ILE-APA,ZENTU  L.G.E.A. SCH,23/06/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/10/pu/002/002-1677403830.pdf,false
