state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KWARA,IREPODUN,AJASE IPO 11,CENTRAL MARKET EGUDU,23/09/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/015/015-1677385922.pdf,false
KWARA,IREPODUN,AJASE IPO 11,OLOTA'S COMPD ISALE-IJU ILUDUN,23/09/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/014/014-1677385451.pdf,false
KWARA,IREPODUN,AJASE IPO 11,NEAR OBA'S PALACE AJENGBE,23/09/02/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/013/013-1677383798.pdf,false
KWARA,IREPODUN,AJASE IPO 11,CENTRAL MARKET OMIDO,23/09/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/012/012-1677382918.pdf,false
KWARA,IREPODUN,AJASE IPO 11,L.G.E.A SCH OMIDO,23/09/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/011/011-1677381827.pdf,false
KWARA,IREPODUN,AJASE IPO 11,AGANJU IGBONLA,23/09/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/010/010-1677381424.pdf,false
KWARA,IREPODUN,AJASE IPO 11,ILE BALE IGBONLA,23/09/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/009/009-1677380976.pdf,false
KWARA,IREPODUN,AJASE IPO 11,HEALTH CENTRE AGBAMU,23/09/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/008/008-1677380219.pdf,false
KWARA,IREPODUN,AJASE IPO 11,ST PAUL'S SCH AGBAMU II,23/09/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/007/007-1677379401.pdf,false
KWARA,IREPODUN,AJASE IPO 11,ST PAUL'S SCH AGBAMU I,23/09/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/006/006-1677378591.pdf,false
KWARA,IREPODUN,AJASE IPO 11,L.G.E.A SCH SANMORA,23/09/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/005/005-1677378030.pdf,false
KWARA,IREPODUN,AJASE IPO 11,AJENIPA'S QTRS SANMORA,23/09/02/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/004/004-1677377496.pdf,false
KWARA,IREPODUN,AJASE IPO 11,NEAR OBA'S PALACE AGBONDA/ADIGUN,23/09/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/003/003-1677376971.pdf,false
KWARA,IREPODUN,AJASE IPO 11,ILE OBALOKE AGBONDA,23/09/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/002/002-1677376452.pdf,false
KWARA,IREPODUN,AJASE IPO 11,L.G.E.A. SCH AGBONDA,23/09/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/02/pu/001/001-1677375601.pdf,false
