state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),"MANDATE, NEAR ADEWUMI SCH. OMU-ARAN",23/09/07/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/156029/156029-1677474268.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),"L.G. SECRETATRIAT, OMU-ARAN",23/09/07/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/156028/156028-1677474025.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),OGBO GRAMMAR SCH. OMU-ARAN,23/09/07/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/156027/156027-1677472672.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),"NUT HOUSE, OMU-ARAN",23/09/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/156026/156026-1677472555.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),"FURTUNATE SCH. OKO ROAD, OMU-ARAN",23/09/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/156025/156025-1677472291.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),OPPOSITE F.G.G.C OMU-ARAN,23/09/07/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76722/76722-1677472007.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ECWA SCH AGANMO OMU-ARAN,23/09/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76721/76721-1677471745.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ILARO COMP OMU-ARAN,23/09/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76720/76720-1677471430.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ITA BUOYE GBELEJE OMU-ARAN,23/09/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76719/76719-1677471153.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ECWA SCH OROLODO OMU-ARAN,23/09/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76718/76718-1677470876.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),IKOJA COMP OMU-ARAN,23/09/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76717/76717-1677470712.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),OKE ESA COMP OMU-ARAN,23/09/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76716/76716-1677470436.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ORA COMP. OMU-ARAN,23/09/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76715/76715-1677470255.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ILE AYOMU IGANGU OMU-ARAN,23/09/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3600/ward/23198/pu/76714/76714-1677469784.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),RABA COMP. OMU-ARAN,23/09/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/07/pu/003/003-1677428646.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ILE EDEMO OMU-ARAN,23/09/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/07/pu/002/002-1677427097.pdf,false
KWARA,IREPODUN,OMU-ARAN 11 (IHAYE),ILE ELEMO AFIN OMU-ARAN,23/09/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/07/pu/001/001-1677423059.pdf,false
