state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KWARA,OYUN,ERIN-ILE NORTH,"SURAJUDEEN LGEA SCH, ERIN-ILE",23/15/11/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/77201/77201-1677491749.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,OHEE/OGINSADO JUNCTION,23/15/11/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/156305/156305-1677460290.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,E.S.A LIBRARY ERIN-ILE OPEN SPACE,23/15/11/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/156304/156304-1677460075.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,ERIN-ILE TOWN HALL,23/15/11/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/156303/156303-1677459810.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,GENERAL HOSPITAL OPEN SPACE ERIN-ILE,23/15/11/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/156302/156302-1677459547.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,NOMADIC PRIMARY SCHOOL IYALOJA AREA ERIN-ILE,23/15/11/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/156301/156301-1677459350.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,"INFRONT OF OKIKI'S COMP, ERIN-ILE",23/15/11/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/77200/77200-1677458997.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,"INFRONT OF OLOBA'S COMP, ERIN-ILE",23/15/11/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/77199/77199-1677458784.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,"EBENEZER LGEA SCH, ERIN-ILE",23/15/11/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/77198/77198-1677458390.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,"ST MATHIAS LGEA SCH, ERIN-ILE II",23/15/11/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/77197/77197-1677458182.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,"ST MATHIAS LGEA SCH, ERIN-ILE I",23/15/11/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3606/ward/23273/pu/77196/77196-1677457928.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,OJOMU KAWU/ASIKAN JUNCTION,23/15/11/013,https://docs.inecelectionresults.net/elections/1292/1677447165-156306.pdf,false
KWARA,OYUN,ERIN-ILE NORTH,OPEN SPACE OLOWE,23/15/11/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/11/pu/001/001-1677428663.pdf,false
