state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
KWARA,PATIGI,LADE 11,NDANAKU COMMUNITY II,23/16/09/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651548/result_71010_1677790481_thumb.jpg,false
KWARA,PATIGI,LADE 11,KOCHITAGI OPEN SPACE,23/16/09/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651547/result_71009_1677790251_thumb.jpg,false
KWARA,PATIGI,LADE 11,UBANDAWAKI OPEN SPACE,23/16/09/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651551/result_71013_1677785766_thumb.jpg,true
KWARA,PATIGI,LADE 11,DINA LGEA SCH,23/16/09/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76553/result_71004_1677785668_thumb.jpg,true
KWARA,PATIGI,LADE 11,GUNUBATA OPEN SPACE,23/16/09/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651550/result_71012_1677784679_thumb.jpg,true
KWARA,PATIGI,LADE 11,DISTRICT OFFICE LADE,23/16/09/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76554/result_71005_1677783624_thumb.jpg,true
KWARA,PATIGI,LADE 11,EMI ADAM CARPENTER OPEN SPACE,23/16/09/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651549/result_71011_1677783415_thumb.jpg,true
KWARA,PATIGI,LADE 11,LADE CENTRAL LGEA SCH,23/16/09/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76552/result_71003_1677783247_thumb.jpg,true
KWARA,PATIGI,LADE 11,TSUBA LGEA SCH,23/16/09/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76556/result_71007_1677783080_thumb.jpg,true
KWARA,PATIGI,LADE 11,NDANAKU COMMUNITY I,23/16/09/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651552/result_71014_1677782300_thumb.jpg,true
KWARA,PATIGI,LADE 11,GBANGEDE LGEA SCHOOL,23/16/09/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/651553/result_71015_1677782136_thumb.jpg,true
KWARA,PATIGI,LADE 11,COTTAGE HOSPITAL,23/16/09/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76557/result_71008_1677781769_thumb.jpg,true
KWARA,PATIGI,LADE 11,RANI-NDAKO LGEA SCH,23/16/09/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/76555/result_71006_1677575473_thumb.jpg,false
