state_name,lga_name,ward_name,name,pu_code,document,uploaded_at,has_old_documents,json_url
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,ADIGBONGBO L.G.E.A SCH,23/01/02/001,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23092-adigbongbo-awe-orimaro/polling-units.json
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,AFO-OJA L.G.E.A SCH,23/01/02/003,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23092-adigbongbo-awe-orimaro/polling-units.json
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,AWE L.G.E.A SCH,23/01/02/002,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23092-adigbongbo-awe-orimaro/polling-units.json
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,OKE-PETE OLORI LGEA SCH,23/01/02/006,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23092-adigbongbo-awe-orimaro/polling-units.json
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,TIRO L.G.E.A SCH,23/01/02/005,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23092-adigbongbo-awe-orimaro/polling-units.json
KWARA,ASA,ADIGBONGBO/AWE/ORIMARO,YEDE/ORIMARO L.G.E.A SCH,23/01/02/004,,,true,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23092-adigbongbo-awe-orimaro/polling-units.json
KWARA,ASA,AFON,AFON  L.G.E.A.SCH,23/01/12/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/001/001-1677391654.pdf,2023-02-26T06:56:14.494Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
KWARA,ASA,AFON,AFON AREA COURT,23/01/12/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/002/002-1677375048.pdf,2023-02-26T01:31:59.532Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
KWARA,ASA,AFON,AFON AREA COURT ASA LGEA SHOPPING COMPLEX,23/01/12/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/008/008-1677379308.pdf,2023-02-26T02:42:01.688Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
KWARA,ASA,AFON,AFON C.D OFFICE,23/01/12/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/003/003-1677375881.pdf,2023-02-26T01:45:01.231Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
KWARA,ASA,AFON,AFON LGEA SCHOOL II,23/01/12/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/006/006-1677393325.pdf,2023-02-26T06:58:35.546Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
KWARA,ASA,AFON,APA - ONIMALU LGEA SCH,23/01/12/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/009/009-1677379879.pdf,2023-02-26T02:53:03.812Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
KWARA,ASA,AFON,IGBOROKO  L.G.E.A.SCH,23/01/12/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/12/pu/005/005-1677396722.pdf,2023-02-26T07:33:01.530Z,false,https://raw.githubusercontent.com/mykeels/inec-presidential-elections-2023/master/results/24-kwara/3592-asa/23102-afon/polling-units.json
