state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,EPE,OKE-BALOGUN,"INFRONT OF GRAMMAR SCHOOL ESTATE,  IRAYE ROAD, EPE",24/07/04/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/158065/158065-1677508202.pdf,false
LAGOS,EPE,OKE-BALOGUN,BESIDE ODO-ERAN (IN FRONT OF MARINE POLICE),24/07/04/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80126/80126-1677508088.pdf,false
LAGOS,EPE,OKE-BALOGUN,ERESE VILLAGE,24/07/04/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80132/80132-1677508011.pdf,false
LAGOS,EPE,OKE-BALOGUN,IMAUSA VILLAGE,24/07/04/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80133/80133-1677507942.pdf,false
LAGOS,EPE,OKE-BALOGUN,"ARMY BARRACKS PRY. SCHOOL,  EPE",24/07/04/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/158066/158066-1677507204.pdf,false
LAGOS,EPE,OKE-BALOGUN,IN FRONT OF L.G. DISP. EBUTE AFUYE,24/07/04/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80127/80127-1677506850.pdf,false
LAGOS,EPE,OKE-BALOGUN,BESIDE ODO-ERAN,24/07/04/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80125/80125-1677506677.pdf,false
LAGOS,EPE,OKE-BALOGUN,R.C.M PRY. SCH. EPE I,24/07/04/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80128/80128-1677506316.pdf,false
LAGOS,EPE,OKE-BALOGUN,BESIDE TAOSIRI MOSQUE,24/07/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80124/80124-1677506310.pdf,false
LAGOS,EPE,OKE-BALOGUN,R.C.M PRY. SCH. EPE II,24/07/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80129/80129-1677506171.pdf,false
LAGOS,EPE,OKE-BALOGUN,IN FRONT OF TAOSIRI MOSQUE,24/07/04/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80123/80123-1677506051.pdf,false
LAGOS,EPE,OKE-BALOGUN,BESIDE AHMADDIYA MOSQUE,24/07/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80122/80122-1677505911.pdf,false
LAGOS,EPE,OKE-BALOGUN,ARMY HIGH SCH. EPE III,24/07/04/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80130/80130-1677505948.pdf,false
LAGOS,EPE,OKE-BALOGUN,ARMY HIGH SCH. EPE IV,24/07/04/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80131/80131-1677505731.pdf,false
LAGOS,EPE,OKE-BALOGUN,OPP. AHMADDIYA MOSQUE,24/07/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80121/80121-1677505670.pdf,false
LAGOS,EPE,OKE-BALOGUN,IN FRONT OF L.A.S.U GATE,24/07/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80120/80120-1677505521.pdf,false
LAGOS,EPE,OKE-BALOGUN,IN FRONT OF L.G. DISP. OKE-OYINBO,24/07/04/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80119/80119-1677504945.pdf,false
LAGOS,EPE,OKE-BALOGUN,BACK OF CENTRAL MOSQUE OKE BALOGUN,24/07/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80118/80118-1677504660.pdf,false
LAGOS,EPE,OKE-BALOGUN,A.U.D. PRY. SCHOOL EPE,24/07/04/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3614/ward/23352/pu/80117/80117-1677504501.pdf,false
