state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT LAGASA,24/09/07/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158621/158621-1677689444.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT IDI ORI I,24/09/07/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158623/158623-1677502558.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT AGBOWA ONIBEJU II,24/09/07/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158624/158624-1677502528.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT ABEGEDE I,24/09/07/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158622/158622-1677502498.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT OKE OYINBO STREET BOGIJE,24/09/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158607/158607-1677502408.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,"OPEN SPACE AT ELEMORO, OKE ODO",24/09/07/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158610/158610-1677502333.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT IDI ORI,24/09/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80827/80827-1677502291.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT AGBOWA ONIBEJU,24/09/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80828/80828-1677502283.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OTUNLA TOWN HALL,24/09/07/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158609/158609-1677502142.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE IN FRONT OF BAALE'S HOUSE AT DONGO,24/09/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80826/80826-1677502190.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE AT EBUTE BOGIJE,24/09/07/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158608/158608-1677502133.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,PREMISES OF C.P.S. ABEGEDE,24/09/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80825/80825-1677502079.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,PREMISES OF L.G SCH BOGIJE II,24/09/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158606/158606-1677501997.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SAPCE IN FRONT OF BAALE'S COMPOUND AT ARAPAGI LOTU,24/09/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80824/80824-1677501951.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,PREMISES OF L.G SCH BOGIJE I,24/09/07/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158605/158605-1677501937.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,PREMISES OF A.U.D SCH. ARAPAGI,24/09/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80823/80823-1677501830.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,UNDER THE TREE IN FRONT OF BAALE'S HOUSE AT SAPATI,24/09/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80819/80819-1677501778.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE IN FRONT OF BAALE'S HOUSE AT LAGASA,24/09/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80822/80822-1677501712.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE IN FRONT OF BAALE'S HOUSE AT ORIBAWA,24/09/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80821/80821-1677500859.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,IN FRONT OF BEACHWOOD ESTATE,24/09/07/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158614/158614-1677500714.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,OPEN SPACE IN FRONT OF BAALE'S HOUSE AT IMALETALAFIA,24/09/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/80820/80820-1677500730.pdf,false
LAGOS,IBEJU/LEKKI,IWEREKUN II,BOLORUNPELU COMMUNITY HALL,24/09/07/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3616/ward/23384/pu/158613/158613-1677500522.pdf,false
