state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,"11, FATUNBI ST. ALAGBADO",24/10/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3617/ward/23397/pu/81157/81157-1677772935.pdf,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,JUNCTION OF FADIPE OLUMO ST. ALAGBADO II,24/10/09/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3617/ward/23397/pu/81165/81165-1677772810.pdf,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,"JUNCTION OF TIGBEGBE STREET, OJOKORO, AGBADO IJAIYE",24/10/09/046,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/654181/result_27751_1677680453_thumb.jpg,false
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,JUNCTION OF OGO OLUWA STREET/NURENI YUSSUF DRIVE,24/10/09/081,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/654139/result_27786_1677680380_thumb.jpg,false
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,ASUKU/ADEOGUN JUNCTION,24/10/09/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/654179/result_27749_1677503465_thumb.jpg,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,JUNCTION OF OPE-EWE/AGBADO IJAIYE RD. JANKARA II,24/10/09/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/80287/result_27738_1677502380_thumb.jpg,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,"31, IJAIYE ST. CAASO, ALAGBADO",24/10/09/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/80273/result_27724_1677501014_thumb.jpg,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,CAR WASH JUNCTION/CLEM ROAD,24/10/09/068,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/654126/result_27773_1677512516_thumb.jpg,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,"IN FRONT OF BLOCK 20, OJOKORO HOUSING ESTATE I",24/10/09/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/80262/result_27713_1677500153_thumb.jpg,true
LAGOS,IFAKO-IJAYE,IJAIYE/AGBADO/KOLLINGTON,"3, ALU ESE ST. ALAGBADO",24/10/09/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/80285/result_27736_1677502002_thumb.jpg,true
