state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,BESIDE KUYASIN AWUSE MARKET,24/11/08/051,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159313/159313-1677521904.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,"9, ARAROMI STR, BY WATER BASE.",24/11/08/050,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159312/159312-1677521772.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,IN FRONT OF BOND FM GATE FAJUYI ROAD,24/11/08/049,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159311/159311-1677521678.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,OPP GRA PRY SCH. II,24/11/08/048,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159310/159310-1677521581.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,BESIDE GRA PRY SCH.,24/11/08/047,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159309/159309-1677521488.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,OPP. GRA. PRY. SCH,24/11/08/046,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159308/159308-1677521308.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,IN FRONT OF NO 39B ADEKUNLE FAJUYI BESIDE GRA PRY SCH,24/11/08/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159307/159307-1677521191.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,IN FRONT OF NO 10 ADEKUNLE FAJUYI,24/11/08/044,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159306/159306-1677521069.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,IN FRONT OF 8 ADEKUNLE FAJUYI II,24/11/08/043,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159305/159305-1677520978.pdf,false
LAGOS,IKEJA,ONIGBONGBO/MILITARY CANTONMENT,IN FRONT OF NO 8 ADEKUNLE FAJUYI I,24/11/08/042,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3618/ward/23407/pu/159304/159304-1677520881.pdf,false
