state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,ST. MATHIAS GIRLS PRY. SCH. I,24/14/19/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81859/result_30532_1677493020_thumb.jpg,true
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,IGBOSERE/BEECROFT ST. JUNCTION III,24/14/19/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655364/result_30553_1677495304_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,SURA PUBLIC HEALTH CENTRE,24/14/19/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81872/result_30545_1677494430_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,BY AJAGUN LANE/AJAGUN COURT,24/14/19/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81854/result_30527_1677492406_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,OPEN SPACE IN FRONT OF 20 IGUNNU ST.,24/14/19/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81853/result_30526_1677492298_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,ST. DAVID'S PRY. SCH. OKESUNA I,24/14/19/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81876/result_30549_1677494915_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,OPEN SPACE ALAYAKI/ALAYAKI COURT,24/14/19/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81851/result_30524_1677492062_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,ST. DAVID'S PRY. SCH. OKESUNA III,24/14/19/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81878/result_30551_1677495111_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,ST. DAVID'S PRY. SCH. OKESUNA II,24/14/19/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81877/result_30550_1677495017_thumb.jpg,false
LAGOS,LAGOS ISLAND,LAFIAJI/EBUTE,ST. MATHIAS GIRLS PRY. SCH. III,24/14/19/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/81861/result_30534_1677493288_thumb.jpg,false
