state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,LAGOS MAINLAND,EPETEDO,ILOGBO HIGH SCH. I,24/15/02/066,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/160159/160159-1677504805.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,ST. PAULS CATH. PRY. SCH. III,24/15/02/062,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/160155/160155-1677504490.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,ADEMUYIWA ST. (BY HOUSE 13),24/15/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82856/82856-1677504280.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,JUNCTION OF APAPA RD/ABULE NLA,24/15/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82858/82858-1677504080.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,JONES ST. (BY HOUSE 23) I,24/15/02/071,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/160164/160164-1677500953.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,VAUGHAN ST. (OPP. HOUSE 44),24/15/02/059,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82912/82912-1677500476.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,THOMAS ST. (OPP. HOUSE 32) II,24/15/02/057,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82910/82910-1677500290.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,THOMAS ST. (OPP. HOUSE 32) I,24/15/02/056,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82909/82909-1677500190.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,JUNCTION OF SHEMORE/OPEOLUWA ST. II,24/15/02/053,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82906/82906-1677500006.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,JUNCTION OF SHALEFORS ST.-PATIENCE,24/15/02/051,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82904/82904-1677499899.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,PARK RD. (OPP. HOUSE 24),24/15/02/050,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82903/82903-1677499801.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,PARK RD. (BY HOUSE 31),24/15/02/048,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82901/82901-1677499681.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,OROJU PRY. SCH.,24/15/02/047,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82900/82900-1677499578.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,L.M.L.G. PRY. SCH.,24/15/02/046,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82899/82899-1677499448.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,BANJO PRY. SCH.,24/15/02/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82898/82898-1677499346.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,JUNCTION OF OLOKODANA ST./OLUWA LANE,24/15/02/044,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82897/82897-1677499197.pdf,false
LAGOS,LAGOS MAINLAND,EPETEDO,JONES ST. (BY HOUSE 43),24/15/02/039,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3622/ward/23459/pu/82892/82892-1677499036.pdf,false
