state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,LAGOS MAINLAND,OKO-BABA,JEBBA ST. (BY HOUSE 90),24/15/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/008/008-1677425419.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,IBADAN ST. (BY HOUSE 135),24/15/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/006/006-1677424777.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,HEBERT MACAULAY GRAMMAR SCH. III,24/15/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/013/013-1677424192.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,HANDICRAFT CENTRE,24/15/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/003/003-1677424002.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,BOLA ST. (BY HOUSE 52),24/15/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/002/002-1677423699.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,JEBBA ST. (BY HOUSE 68),24/15/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/007/007-1677423631.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,KANO ST. (BY HOUSE 71) I,24/15/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/009/009-1677423027.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,HEBERT MACAULAY GIRLS HIGH SCH. I,24/15/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/011/011-1677422673.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,KANO ST. (BY HOUSE 71) II,24/15/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/010/010-1677422329.pdf,false
LAGOS,LAGOS MAINLAND,OKO-BABA,SALVATION ARMY PRY. SCH. III,24/15/07/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/07/pu/031/031-1677421801.pdf,false
