state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,OJO,ILOGBO,OPEN SPACE AT LONDON STREET  OKE AGBO,24/17/06/080,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160502/160502-1677565918.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT MASHALASHI STREET BY GANIU ATANDA JUNCTION,24/17/06/079,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160501/160501-1677565803.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT TAILOR STREET,24/17/06/078,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160500/160500-1677565667.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT OREMETA JUNCTION  ILOGBO,24/17/06/077,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160499/160499-1677565538.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE INFRONT OF MEGA STREET ILOGBO,24/17/06/076,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160498/160498-1677565417.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT CALABAR MARKET,24/17/06/075,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160497/160497-1677565289.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE OPPOSITE TRANSFORMER ABADI BUS STOP,24/17/06/074,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160496/160496-1677565185.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT ABAPASHA STREET  IMUDE,24/17/06/073,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160495/160495-1677565036.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT ITAKETE COMMUNITY,24/17/06/072,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160494/160494-1677564932.pdf,true
LAGOS,OJO,ILOGBO,AJEWANWA COMMUNITY PRIMARY SCHOOL,24/17/06/071,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160493/160493-1677564803.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT SIGNS AND WONDERS BUS STOP,24/17/06/060,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160482/160482-1677564762.pdf,true
LAGOS,OJO,ILOGBO,AYEKOTO COMMUNITY PRIMARY SCHOOL,24/17/06/070,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160492/160492-1677564701.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT ONIKOSI AVENUE  OTTO,24/17/06/059,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160481/160481-1677564642.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT ORITSHA COMMUNITY,24/17/06/069,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160491/160491-1677564562.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT IDERELU JUNCTION  OTTO,24/17/06/058,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160480/160480-1677564512.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT AFOLABI STREET  SHIBIRI,24/17/06/068,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160490/160490-1677564451.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE INFRONT OF GORIOLA MOSQUE OTTO,24/17/06/057,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160479/160479-1677564413.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE BY SANTANA BUS STOP  SHIBIRI,24/17/06/067,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160489/160489-1677564348.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE IN FRONT OF ULTIMATE HOTEL OTTO,24/17/06/056,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160478/160478-1677564316.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT OLOWOPARIOLA STREET SHIBIRI,24/17/06/066,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160488/160488-1677564248.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT MATORI STREET  OTTO,24/17/06/055,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160477/160477-1677564233.pdf,true
LAGOS,OJO,ILOGBO,"OPEN SPACE AT AGBENI STREET, OTTO",24/17/06/054,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160476/160476-1677564133.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT DEBOTEL STREET  ITIRE,24/17/06/065,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160487/160487-1677564117.pdf,true
LAGOS,OJO,ILOGBO,BESIDE OTTO- AWORI TOWN HALL,24/17/06/053,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160475/160475-1677564033.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE BY TOPE MARKET  ILOGBO,24/17/06/064,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160486/160486-1677563995.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT KAREEM STREET  SHIBIRI,24/17/06/052,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160474/160474-1677563928.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT TOPE BUS STOP  ILOGBO,24/17/06/063,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160485/160485-1677563862.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT BAALE STREET BY CENTRAL MOSQUE,24/17/06/051,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160473/160473-1677563818.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT THE JUNCTION OF AJOSE STREET IYANA-ERA ROAD,24/17/06/062,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160484/160484-1677563748.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT JOSEPHINE STREET IGBO NLA SHIBIRI,24/17/06/050,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160472/160472-1677563711.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE BESIDE MY BUILDER NUR & PRY SCH. FEDERAL SECOND GATE,24/17/06/061,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160483/160483-1677563631.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT AJAKAYE STREET SHIBIRI,24/17/06/049,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160471/160471-1677563579.pdf,true
LAGOS,OJO,ILOGBO,OPEN SPACE AT 7.7 JUNCTION  SHIBIRI,24/17/06/048,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3624/ward/23488/pu/160470/160470-1677563470.pdf,true
