state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,OSHODI/ISOLO,ILASAMAJA,"8, BELLO ST.",24/18/05/038,https://docs.inecelectionresults.net/elections/1292/1677761736-84679.pdf,true
LAGOS,OSHODI/ISOLO,ILASAMAJA,HOUSE 18 HASSAN STREET,24/18/05/046,https://docs.inecelectionresults.net/elections/1292/1677753195-160713.pdf,true
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF AJOSE ST./OLUFEMI SAMSON ST.,24/18/05/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83606/result_32846_1677495645_thumb.jpg,true
LAGOS,OSHODI/ISOLO,ILASAMAJA,"3, FABIYI STREET",24/18/05/055,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655898/result_32879_1677498204_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"12, ADIJAT ST. II",24/18/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83596/result_32836_1677500706_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"11, BELLO STREET",24/18/05/071,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655914/result_32895_1677499836_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,IBADAN ST./CECELIA ODUTUGA ST. JUNCTION I,24/18/05/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83611/result_32851_1677495972_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF ADEGBOLA ST./AMUSAN I,24/18/05/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83601/result_32841_1677500383_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF OLORUNWA ST./OSANYINTOLA ST.,24/18/05/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83615/result_32855_1677496399_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"HOUSE 13, HASSAN ST. I",24/18/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83587/result_32827_1677501319_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF AJOSE STREET/OLUFEMI SAMSON STREET,24/18/05/059,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655902/result_32883_1677498468_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"26, SALAMOTU ST.",24/18/05/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83603/result_32843_1677500245_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"ILASAMAJA PRY SCHOOL, ILASA II",24/18/05/060,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655903/result_32884_1677498586_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,EKO GIRLS HIGHR SCHOOL COMPOUND IV,24/18/05/076,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655919/result_32900_1677501830_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"2, IFELODUN STREET",24/18/05/054,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655897/result_32878_1677498116_thumb.jpg,true
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF ANUOLUWAPO ST./AJANI ST.,24/18/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83586/result_32826_1677501386_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,EKO GIRLS HIGH SCH. COMPOUND I,24/18/05/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83627/result_32867_1677497376_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"5, GBADAMOSI ST.",24/18/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83591/result_32831_1677501022_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF IJAIYE ST./APAPA OSHODI EXPRESS WAY,24/18/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83593/result_32833_1677500885_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF ARAROMI/BALE ST.,24/18/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83594/result_32834_1677500821_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,HOUSE 21 TEMITOPE STREET,24/18/05/063,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655906/result_32887_1677498903_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF ADEYIGA/OYELERU ST.,24/18/05/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83614/result_32854_1677496330_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"14, SALAMOTU ST.",24/18/05/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83604/result_32844_1677500146_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF TANIMOLA/IFELODUN ST.,24/18/05/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83599/result_32839_1677500523_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"7, OSENI AGORO STREET.",24/18/05/061,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655904/result_32885_1677498741_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"8, IJAYE STREET",24/18/05/050,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655893/result_32874_1677497857_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF FABIYI ST./AJEGBORIOGBON ST.,24/18/05/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83600/result_32840_1677500469_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,JUNCTION OF ADEGBOLA ST./AMUSAN II,24/18/05/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/83602/result_32842_1677500305_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"8, AMUSUN STREET",24/18/05/073,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655916/result_32897_1677501638_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"4, SALAWU STREET",24/18/05/069,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655912/result_32893_1677499724_thumb.jpg,false
LAGOS,OSHODI/ISOLO,ILASAMAJA,"5, SOFUYE STREET",24/18/05/058,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/655901/result_32882_1677498388_thumb.jpg,false
