state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,ADETAYO OSHO ST. IN FRONT OF HOUSE NO. 15,24/19/09/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84259/result_33799_1677495128_thumb.jpg,true
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,MODUPE ST. IN FRONT OF HOUSE NO. 19,24/19/09/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84230/result_33770_1677495209_thumb.jpg,true
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,AYINKE ST. IN FRONT OF HOUSE NO. 20,24/19/09/045,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84262/result_33802_1677495322_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,OLATUNDE ST. IN FRONT OF HOUSE NO. 12,24/19/09/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84234/result_33774_1677494111_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,FOLA AGORO ST. IN FRONT OF HOUSE NO. 38,24/19/09/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84228/result_33768_1677495000_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,AYINKE ST. IN FRONT OF HOUSE NO. 4,24/19/09/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84261/result_33801_1677495265_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,OBIWUNMI ST. B/W HOUSE NOS. 2 & 4,24/19/09/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84224/result_33764_1677494507_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,ST. PAUL'S UNA PRY. SCH. ONAFOWOKAN ST. II,24/19/09/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84219/result_33759_1677493999_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,OBIWUNMI ST./FOLA AGORO ST. JUNCTION,24/19/09/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84225/result_33765_1677494661_thumb.jpg,true
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,CHURCH ST. IN FRONT OF HOUSE NO. 12,24/19/09/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84223/result_33763_1677494415_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,SOLANKE ST. IN FRONT OF HOUSE NO. 6,24/19/09/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84244/result_33784_1677494131_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,SOLANKE IN FRONT HOUSE  66,24/19/09/050,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/656262/result_33807_1677495357_thumb.jpg,false
LAGOS,SOMOLU,FOLA AGORO/BAJULAIYE/IGBARI-AKOKA,ADENUGA KAJERO ST. IN FRONT OF HOUSE NO. 7,24/19/09/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/84252/result_33792_1677494643_thumb.jpg,false
