state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
NASARAWA,KARU,GURKU/KABUSU,PANKAWUGURKU,25/04/08/030,https://docs.inecelectionresults.net/elections/1292/1677744504-161708.pdf,true
NASARAWA,KARU,GURKU/KABUSU,BAGOJE - OP,25/04/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85395/result_42769_1677491490_thumb.jpg,true
NASARAWA,KARU,GURKU/KABUSU,KATANYI PRI.SCHOOL - PB,25/04/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85397/result_42771_1677490022_thumb.jpg,true
NASARAWA,KARU,GURKU/KABUSU,ZHEWU YELWA,25/04/08/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3631/ward/23567/pu/161696/161696-1677501327.pdf,false
NASARAWA,KARU,GURKU/KABUSU,KUPE-OP,25/04/08/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3631/ward/23567/pu/161702/161702-1677498362.pdf,false
NASARAWA,KARU,GURKU/KABUSU,ZHAYI-OP,25/04/08/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3631/ward/23567/pu/161699/161699-1677496910.pdf,false
NASARAWA,KARU,GURKU/KABUSU,KUGWARU PHC,25/04/08/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/026/026-1677427573.pdf,false
NASARAWA,KARU,GURKU/KABUSU,CHAKUWA PRI.SCHOOL - PB,25/04/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/005/005-1677426398.pdf,false
NASARAWA,KARU,GURKU/KABUSU,KALADA-OP,25/04/08/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/017/017-1677425938.pdf,false
NASARAWA,KARU,GURKU/KABUSU,ZHAYIP-OP,25/04/08/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/028/028-1677425209.pdf,false
NASARAWA,KARU,GURKU/KABUSU,DUNKURU NOMADIC,25/04/08/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/027/027-1677424316.pdf,false
NASARAWA,KARU,GURKU/KABUSU,GURKU  GWANDARA III,25/04/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/003/003-1677423642.pdf,false
NASARAWA,KARU,GURKU/KABUSU,GSS GURKU GWARI,25/04/08/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/020/020-1677422755.pdf,false
NASARAWA,KARU,GURKU/KABUSU,GURKU GWANDARA OPEN PLACE (OP),25/04/08/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/015/015-1677421077.pdf,false
NASARAWA,KARU,GURKU/KABUSU,GURKU  GWANDARA II,25/04/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/002/002-1677418510.pdf,false
NASARAWA,KARU,GURKU/KABUSU,GURKU GWANDARA OPEN PLACE (OP),25/04/08/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/014/014-1677416606.pdf,false
