state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
NASARAWA,LAFIA,ARIKYA,KUNGRA WAYO - OP,25/08/04/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85758/result_43653_1677509348_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,KAMPANI - OP,25/08/04/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85757/result_43652_1677509222_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,KADAURA UNG.DOGO - OP,25/08/04/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85756/result_43651_1677509094_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,AGBULAGUN ALH.YAKUBU - OP,25/08/04/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85755/result_43650_1677508933_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,FADAMA PRI.SCHOOL - PB,25/08/04/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85753/result_43648_1677512451_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,ARIKYA DISPENSARY - PB III,25/08/04/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85750/result_43645_1677508364_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,FADAMA K/SARKI - OP,25/08/04/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85754/result_43649_1677508766_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,KUNGRA TOFA - OP,25/08/04/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85751/result_43646_1677509895_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,ARUGBADU PRI.SCHOOL - OP,25/08/04/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85759/result_43654_1677509548_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,ARIKYA PRI.SCHOOL - PB I,25/08/04/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85748/result_43643_1677508045_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,ARIKYA DISPENSARY - PB II,25/08/04/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85749/result_43644_1677508202_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,ARUGBADU UNG.SARKI - OP,25/08/04/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/85760/result_43655_1677509702_thumb.jpg,true
NASARAWA,LAFIA,ARIKYA,WUJI - OP,25/08/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3635/ward/23605/pu/86841/86841-1677561865.pdf,true
NASARAWA,LAFIA,ARIKYA,K/GBADU FADAMA,25/08/04/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3635/ward/23605/pu/162214/162214-1677465337.pdf,false
NASARAWA,LAFIA,ARIKYA,JIBEL - OP,25/08/04/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3635/ward/23605/pu/86855/86855-1677464712.pdf,false
NASARAWA,LAFIA,ARIKYA,GALLO - OP,25/08/04/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3635/ward/23605/pu/86853/86853-1677463998.pdf,false
NASARAWA,LAFIA,ARIKYA,"MARKET SQUARE, JIBYEL",25/08/04/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/027/027-1677426703.pdf,false
NASARAWA,LAFIA,ARIKYA,SHUKKU - OP,25/08/04/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/016/016-1677419131.pdf,false
NASARAWA,LAFIA,ARIKYA,KOFAR MADAKI KUNGAR WAYO,25/08/04/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/024/024-1677405429.pdf,false
NASARAWA,LAFIA,ARIKYA,ANG. ALH ABUGU,25/08/04/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/021/021-1677404459.pdf,false
NASARAWA,LAFIA,ARIKYA,KOFAR HAMIDU JAWO AGWAN UMME,25/08/04/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/023/023-1677404318.pdf,false
NASARAWA,LAFIA,ARIKYA,KOFAR SARKI SHIMIR,25/08/04/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/026/026-1677402600.pdf,false
NASARAWA,LAFIA,ARIKYA,DOGON YASHI AKOLO,25/08/04/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/025/025-1677402498.pdf,false
NASARAWA,LAFIA,ARIKYA,AGYABAWA - OP,25/08/04/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/014/014-1677401684.pdf,false
NASARAWA,LAFIA,ARIKYA,ANG. MADAKI FEFERUWA,25/08/04/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/020/020-1677399410.pdf,false
NASARAWA,LAFIA,ARIKYA,FEFERUWA - OP,25/08/04/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/015/015-1677394306.pdf,false
NASARAWA,LAFIA,ARIKYA,MANKWAR - OP,25/08/04/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/08/ward/04/pu/018/018-1677379788.pdf,false
