state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
NIGER,KONTAGORA,TUNGANWAWA,TUNGAN WAWA PRIMARY HEALTH CARE OFFICE,26/11/10/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/659151/result_73138_1677595999_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,MADANGYAN  II,26/11/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87743/result_73132_1677590056_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,UTACHU GARI,26/11/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87738/result_73127_1677588667_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,ALALA,26/11/10/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87746/result_73135_1677591081_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,DAPPO,26/11/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87740/result_73129_1677589226_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,TUNGAN WAWA YAMMA,26/11/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87737/result_73126_1677588484_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,JUNIOR SEC. SCH. TUNGAN WAWA,26/11/10/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/659150/result_73137_1677591928_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,GANAWA,26/11/10/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87745/result_73134_1677590781_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,UTACHU LIMAN,26/11/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87739/result_73128_1677588850_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,TUNGAN WAWA GABBAS  I,26/11/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87735/result_73124_1677586944_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,TUNGAN WAWA GABBAS  II,26/11/10/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87736/result_73125_1677587189_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,MADANGYAN  I,26/11/10/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87742/result_73131_1677589961_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,MAGANDU GARI/DAJI,26/11/10/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87744/result_73133_1677590571_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,TUNGA NA UKU,26/11/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87741/result_73130_1677589519_thumb.jpg,false
NIGER,KONTAGORA,TUNGANWAWA,ALALA (UNG. LIMAN),26/11/10/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87747/result_73136_1677591464_thumb.jpg,false
