state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OGUN,ADO ODO-OTA,ADO ODO II,"OPEN SPACE AT WESLEY GUILD HOSPITAL, YIDI",27/03/10/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/019/019-1677378039.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,METHODIST PRY. SCHOOL  I,27/03/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/001/001-1677376731.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,L.G SCH. IJIGBO,27/03/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/005/005-1677374647.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,"ALAGBE ESTATE, IMALE FEALAFA",27/03/10/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/015/015-1677372221.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,ITA EGUN KEKERE,27/03/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/012/012-1677370820.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,ITA EGUN-NLA  II,27/03/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/007/007-1677370243.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,ALL SAINT'S SCHOOL ADO II,27/03/10/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/013/013-1677369655.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,ALAMUWA GRAMMAR SCHOOL,27/03/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/011/011-1677369199.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,"OPEN SPACE AT ITA BOLODE, ADO ODO",27/03/10/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/017/017-1677369105.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,AGUNLOYE MARKET  I,27/03/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/004/004-1677368860.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,OPPOSITE  DISPENSARY,27/03/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/009/009-1677367763.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,ADO-ODO HIGH SCHOOL,27/03/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/010/010-1677367333.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,OPEN SPACE AT OKULUKU 2 ADJACENT JAMAT MOSQ. OKULUKU,27/03/10/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/018/018-1677366294.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,A.U.D. SCHOOL ADO,27/03/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/003/003-1677365854.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,"OPEN SPACE AT AFIJAGBOYE, IYANA ISALU",27/03/10/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/020/020-1677365083.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,INFRONT OF AMINA HOSTEL (ALAGBE ESTATE),27/03/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/014/014-1677362746.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,METHODIST PRY. SCHOOL  II,27/03/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/002/002-1677359847.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,ALL SAINTS SCHOOL ADO-ODO I,27/03/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/008/008-1677359426.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,OKULUKU,27/03/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/006/006-1677359124.pdf,false
OGUN,ADO ODO-OTA,ADO ODO II,"OPEN SPACE AT IGA AFAPE, ADO ODO",27/03/10/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/10/pu/016/016-1677358746.pdf,false
