state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OGUN,EWEKORO,OBADA-OKO,ST. JOHN SCHOOL AYEDERE,27/06/10/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/90998/result_78096_1677516621_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,PAKUDI,27/06/10/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91000/result_78098_1677516959_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,TOWN HALL OBADA-OKO,27/06/10/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91001/result_78099_1677516493_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,"L.G PRY HEALTH CENTRE, OBADA OKO",27/06/10/016,,true
OGUN,EWEKORO,OBADA-OKO,ASIPA VILLAGE,27/06/10/008,,true
OGUN,EWEKORO,OBADA-OKO,OGUNSOLU,27/06/10/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91002/result_78100_1677516851_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,MARKET AREA OBADA-OKO,27/06/10/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91004/result_78102_1677517188_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,"OPEN SPACE BESIDE TOWN HALL, ABULE AKE,OBADA OKO",27/06/10/012,,true
OGUN,EWEKORO,OBADA-OKO,IN FRONT OF MTN MAST KONDO ELEJA VILLAGE,27/06/10/014,,true
OGUN,EWEKORO,OBADA-OKO,"L.G HEALTH CENTRE, BANJOKO",27/06/10/017,,true
OGUN,EWEKORO,OBADA-OKO,IYANA IKEREKU,27/06/10/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91003/result_78101_1677516740_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,"OLUMO NURSERY/ PRY SCHOOL, AYELOJA",27/06/10/013,,true
OGUN,EWEKORO,OBADA-OKO,IWOKUN VILLAGE,27/06/10/002,,true
OGUN,EWEKORO,OBADA-OKO,"COMMUNITY NURSERY / PRY SCHOOL, IGBORE,OBADA OKO",27/06/10/010,,true
OGUN,EWEKORO,OBADA-OKO,OPEN SPACE ADJACENT O-SQUARE HOTEL OBADA OKO,27/06/10/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/660847/result_78110_1677517065_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,BANJOKO,27/06/10/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91006/result_78104_1677516173_thumb.jpg,true
OGUN,EWEKORO,OBADA-OKO,"OWIWI NURSERY/PRY SCHOOL, OBADA OKO",27/06/10/011,,true
