state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OGUN,ODEDA,OLODO,MATERNITY CENTRE OLODO,27/16/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/001/001-1677391646.pdf,false
OGUN,ODEDA,OLODO,OTERE OGUNKOLA VILLAGE,27/16/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/004/004-1677391124.pdf,false
OGUN,ODEDA,OLODO,ORILE KEESI GRAMMAR SCH II,27/16/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/013/013-1677390877.pdf,false
OGUN,ODEDA,OLODO,AFOJUOWO VILLAGE,27/16/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/008/008-1677389586.pdf,false
OGUN,ODEDA,OLODO,BAAGBON PRY. SCHOOL,27/16/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/007/007-1677389309.pdf,false
OGUN,ODEDA,OLODO,MOGAN PRY. SCHOOL,27/16/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/011/011-1677388984.pdf,false
OGUN,ODEDA,OLODO,IKIJA VILLAGE,27/16/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/006/006-1677388406.pdf,false
OGUN,ODEDA,OLODO,OBO OGUNSOLA VILLAGE,27/16/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/003/003-1677388133.pdf,false
OGUN,ODEDA,OLODO,OJU OGUN PRY.SCHOOL,27/16/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/005/005-1677387839.pdf,false
OGUN,ODEDA,OLODO,ADEPEGBA VILLAGE,27/16/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/009/009-1677387651.pdf,false
OGUN,ODEDA,OLODO,AGBE PRY. SCHOOL,27/16/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/010/010-1677387280.pdf,false
OGUN,ODEDA,OLODO,"ALL SAINTS PRY. SCHOOL, OTERE, IKEREKU",27/16/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/002/002-1677386980.pdf,false
OGUN,ODEDA,OLODO,OPEN FIELD AT ISO ISU OLODO,27/16/03/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/014/014-1677386769.pdf,false
OGUN,ODEDA,OLODO,BAMGBOSE VILLAGE,27/16/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/03/pu/012/012-1677359413.pdf,false
