state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OGUN,ODOGBOLU,OMU,"OPPOSITE MOTA MOSQUE, OMU",27/17/14/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92503/result_80442_1677528625_thumb.jpg,true
OGUN,ODOGBOLU,OMU,OPPOSITE IRETE MOSQUE,27/17/14/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92505/result_80444_1677528345_thumb.jpg,true
OGUN,ODOGBOLU,OMU,"Z.I  PRIMARY SCHOOL, OMU",27/17/14/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/661699/result_80449_1677528264_thumb.jpg,true
OGUN,ODOGBOLU,OMU,"U.N.A. PRY. SCHOOL, OMU",27/17/14/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/92501/result_80440_1677510402_thumb.jpg,true
OGUN,ODOGBOLU,OMU,"Z.I. PRY. SCHOOL OKE, OYINBO OMU",27/17/14/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/001/001-1677377535.pdf,false
OGUN,ODOGBOLU,OMU,"IGBODILE/AYEGBAMI, OMU",27/17/14/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/009/009-1677377114.pdf,false
OGUN,ODOGBOLU,OMU,"FRONTAGE OGUNLANA HOUSE, DEGORUNSE",27/17/14/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/008/008-1677376633.pdf,false
OGUN,ODOGBOLU,OMU,"FRONTAGE OLISA HOUSE, OMU",27/17/14/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/005/005-1677375899.pdf,false
OGUN,ODOGBOLU,OMU,"BESIDE ITA ALE MARKET, OMU",27/17/14/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/007/007-1677375398.pdf,false
OGUN,ODOGBOLU,OMU,"IFESOWAPO DAILY RETAIL MARKET, EREBE",27/17/14/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/012/012-1677374876.pdf,false
OGUN,ODOGBOLU,OMU,"SAINT PAUL SCHOOL, OMU",27/17/14/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/003/003-1677373956.pdf,false
OGUN,ODOGBOLU,OMU,"FRONTAGE ONANIYI'S HOUSE, OMU",27/17/14/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/14/pu/010/010-1677366073.pdf,false
