state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OGUN,SAGAMU,AGBOWA,OPEN SPACE @ KAJOLA JUNCTION,27/20/14/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3685/ward/24184/pu/166552/166552-1677478052.pdf,false
OGUN,SAGAMU,AGBOWA,OPEN SPACE AT MULERUWA/KEKEREIFA JUNCTION AGBOWA SAGAMU,27/20/14/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3685/ward/24184/pu/166551/166551-1677477904.pdf,false
OGUN,SAGAMU,AGBOWA,OPEN SPACE @ ADENIJI STREET NEAR COMMUNICATION MAST,27/20/14/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/023/023-1677426204.pdf,false
OGUN,SAGAMU,AGBOWA,ST PAUL SCHOOL ANGLICAN SCHOOL II MAKUN,27/20/14/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/020/020-1677421178.pdf,false
OGUN,SAGAMU,AGBOWA,OPEN SPACE @ AJAKA SECOND ROUND ABOUT.,27/20/14/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/016/016-1677420898.pdf,false
OGUN,SAGAMU,AGBOWA,"OPEN SPACE @ REMO POLY JUNCTION, EWU - OLIWO SAGAMU",27/20/14/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/019/019-1677420450.pdf,false
OGUN,SAGAMU,AGBOWA,OPEN SPACE END ORI APATA EWO OLUWO,27/20/14/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/029/029-1677418602.pdf,false
OGUN,SAGAMU,AGBOWA,OPEN SPACE EWU OLIWO WHITE HOUSE JUNCTION,27/20/14/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/028/028-1677417580.pdf,false
OGUN,SAGAMU,AGBOWA,OPEN SPACE AT ORI-APATA EWU OLIWO,27/20/14/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/027/027-1677417396.pdf,false
OGUN,SAGAMU,AGBOWA,"OTUNBA GBENGA DANIEL MODEL SCHOOL, EWU OLUWO",27/20/14/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/14/pu/026/026-1677417215.pdf,false
