state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ONDO,AKOKO SOUTH EAST,IPE II,"IGBEDE QTRS, IGBEDE QTRS",28/03/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94362/94362-1677587211.pdf,true
ONDO,AKOKO SOUTH EAST,IPE II,"IGBEDE QTRS, IGBEDE QTRS",28/03/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94361/94361-1677586923.pdf,true
ONDO,AKOKO SOUTH EAST,IPE II,"ATUNLESE, ATUNLESE",28/03/05/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94360/94360-1677586696.pdf,true
ONDO,AKOKO SOUTH EAST,IPE II,"ATUNLESE, ATUNLESE",28/03/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94359/94359-1677586477.pdf,false
ONDO,AKOKO SOUTH EAST,IPE II,"UBA JUNCTION, UBA JUNCTION",28/03/05/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94358/94358-1677585969.pdf,false
ONDO,AKOKO SOUTH EAST,IPE II,"UBA JUNCTION, UBA JUNCTION",28/03/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94357/94357-1677585541.pdf,false
ONDO,AKOKO SOUTH EAST,IPE II,"ST JOHNS SCH., ST JOHNS SCH",28/03/05/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94356/94356-1677584537.pdf,false
ONDO,AKOKO SOUTH EAST,IPE II,"ITOTO, ITOTO",28/03/05/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94363/94363-1677584282.pdf,false
ONDO,AKOKO SOUTH EAST,IPE II,"OGUDU COMMUNITY PRIMARY SCHOOL, ILEGBE, IPE AKOKO",28/03/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/166592/166592-1677582636.pdf,false
ONDO,AKOKO SOUTH EAST,IPE II,"ST JOHNS SCH., ST JOHNS SCH",28/03/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3688/ward/24213/pu/94355/94355-1677580170.pdf,true
