state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ONDO,AKURE SOUTH,ODOPETU,OPEN SPACE  OPP. FIRST LION OF JUDAH OLORUNSOGO STREET,28/06/07/040,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/662139/result_82128_1677671446_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,IGBOLIKI - 19 OTUTUBIOSUN,28/06/07/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93736/result_82102_1677665514_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"OPEN SPACE BESIDE 14, OWODUNNI STREET",28/06/07/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/662136/result_82125_1677595201_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,BASIC HEALTH CENTRE YABA ODOPETU,28/06/07/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/662138/result_82127_1677594397_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,OPEN SPACE AT MECHANIC WORKSHOP YABA,28/06/07/038,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/662137/result_82126_1677594142_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"IDIAGBATITUN -31, FEMISORO, MEDAYESE PRY SCH",28/06/07/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93742/result_82108_1677593797_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"IDIAGBATITUN - 27A AJEGUNLE STREET, AKURE",28/06/07/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93741/result_82107_1677593686_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,IDIAGBATITUN AT OWODUNNI STREET IN FRONT OF CONT. HOTEL,28/06/07/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93740/result_82106_1677593302_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"ODOPETU - 40, ODOPETU HOUSE",28/06/07/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93729/result_82095_1677590233_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"ODOPETU - 108, FALOYE WORKSHOP",28/06/07/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93730/result_82096_1677590365_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,ARAKALE -92 OJUMUS HOUSE,28/06/07/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93726/result_82092_1677589422_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,IDIAGBATITUN - 43 OKE PADRE NEAR LAO,28/06/07/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93739/result_82105_1677592853_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,OPEN SPACE ODIGE JUNCTION,28/06/07/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/662132/result_82121_1677586567_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"ODOPETU - 19 ODIGE STREET, AKURE",28/06/07/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93733/result_82099_1677591149_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,ARAKALE - 82 ARAKALE STREET,28/06/07/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93725/result_82091_1677589234_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"ARAKALE -ODA GARAGE , IN FRONT OF AROMED",28/06/07/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93727/result_82093_1677589528_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,ODOPETU - ST MARTINS PRY SCH,28/06/07/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93731/result_82097_1677590564_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,IGBOLIKI - 19 OTUTUBIOSUN,28/06/07/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93737/result_82103_1677592290_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,ODOPETU - 70 OKEARATA STREET,28/06/07/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93735/result_82101_1677592047_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,OPEN SPACE AT OTUTUBIOSUN JUNCTION,28/06/07/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/662134/result_82123_1677587855_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,ARAKALE - 16B IJEMIKINS HOUSE,28/06/07/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93724/result_82090_1677588837_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"ODOPETU - 2, OGUNLEYES HOUSE",28/06/07/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93732/result_82098_1677590857_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,"IDIAGBATITUN - 1, OWODUNNI STREET DOWN THE STREET",28/06/07/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93738/result_82104_1677592523_thumb.jpg,false
ONDO,AKURE SOUTH,ODOPETU,ARAKALE -57B MAYFARE,28/06/07/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
