state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ONDO,AKURE SOUTH,OWODE/IMUAGUN,L.A PRY SCH - L.A PRY SCH,28/06/11/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93842/result_82326_1677513717_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,NATIONAL LIBRARY - NATIONAL LIBRARY,28/06/11/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93843/result_82327_1677513830_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OBA ODESIDA ROAD - 105 OBA ADESIDA ROAD,28/06/11/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93839/result_82323_1677513299_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ERINGBO/EGBEDI/ERINGBO,28/06/11/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93840/result_82324_1677513464_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ST PETER PRY SCH - ST PETER PRY SCH,28/06/11/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93848/result_82332_1677514408_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,FABUSUYI - 11 FABUSUYI STREET,28/06/11/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93846/result_82330_1677514213_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IPINSA - ST AUGUSTINE IPINSA,28/06/11/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93850/result_82334_1677514773_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,TUYI - 22 TUYI STREET,28/06/11/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93845/result_82329_1677514093_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,LEO HOSPITAL - OPPOSITE LEO HOSPITAL,28/06/11/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93849/result_82333_1677514542_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IMUAGUN - 28 IMUAGUN STREET AKURE,28/06/11/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93841/result_82325_1677513581_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IROKUN - 71 IROKUN STREET,28/06/11/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93844/result_82328_1677513922_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,AYEDUN - 50 AYEDUN STREET,28/06/11/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93847/result_82331_1677514301_thumb.jpg,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,EGBEDI - EGBEDI,28/06/11/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/93855/result_82339_1677575409_thumb.jpg,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,FABUSUYI STREET - 11 FABUSUYI STREET (OPOSITE),28/06/11/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3691/ward/24257/pu/94965/94965-1677581686.pdf,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,"NATIONAL LIBRARY - OSHO STREET, AKURE",28/06/11/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3691/ward/24257/pu/94962/94962-1677581028.pdf,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,UNDER TREE OPPOSITE EL-SHADDAI HOSPITAL ADEGBOLA,28/06/11/039,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3691/ward/24257/pu/166949/166949-1677580611.pdf,true
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  BESIDE FAMORITADE HOUSE AYEDUN,28/06/11/049,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/049/049-1677405562.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT MEDINAL COMMUNITY JUNCTION IJARE ROAD,28/06/11/047,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/047/047-1677404693.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  AT DON BOSCO/TRANSFORMER  JUNCTION ELESARE,28/06/11/046,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/046/046-1677403741.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  AT TEMIDIRE BEHIND KUTEYI PETROL STATION IREAKARI ESTATE II,28/06/11/058,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/058/058-1677403557.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT ESO PELE IREAKARI ESTATE 1 ORITAOBELE,28/06/11/057,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/057/057-1677402994.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  AT OKE ODU JUNCTION IJARE ROAD,28/06/11/045,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/045/045-1677402381.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  AT T JUNCTION WESCO IFELODUN,28/06/11/055,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/055/055-1677401808.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT HOPE HOSPITAL JUNCTION BEHIND BAYDUK FILLING STATION,28/06/11/053,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/053/053-1677400895.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT HALLELUYAH JUNCTION ILERE,28/06/11/044,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/044/044-1677400525.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE BESIDE TRUTH CHAPEL OGO OLUWA ORITA OBELE ESTATE,28/06/11/043,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/043/043-1677399441.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT ORUGERE JUNCTION IPINSA,28/06/11/042,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/042/042-1677398220.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  AT ZONE B  IFEOLUWA BESIDE EYIN ALA OLOGEDE,28/06/11/040,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/040/040-1677397508.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT AANUOLUWAPO JUNCTION IPINSA,28/06/11/041,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/041/041-1677397358.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IMUAGUN - 10 OLORUNBE STREET,28/06/11/030,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/030/030-1677396389.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE BESIDE MACBUBSON NUR /PRY SCH TUYI STREET AYEDUN,28/06/11/036,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/036/036-1677396119.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,UNDER THE TREE BEHIND SCHOOL OF THE DEAF STADIUM,28/06/11/035,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/035/035-1677395346.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,LEO HOSPITAL - LEO ALADIYE,28/06/11/034,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/034/034-1677394729.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ODRC JUNCTION - OPPOSITE ODRC JUNCTION,28/06/11/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/028/028-1677394596.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,L.A PRY SCH - 7 STADIUM ROAD,28/06/11/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/031/031-1677393737.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,LEO HOSPITAL - LEO JUNCTION,28/06/11/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/026/026-1677393636.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,"AYEDUN - 24 MAKANJUOLA ST, AYEDUN",28/06/11/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/022/022-1677393063.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ST PETERS PRY SCH - ST PETERS PRY SCH,28/06/11/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/025/025-1677392644.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,L.A PRY SCH - 5B OPOPOOLA STREET,28/06/11/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/019/019-1677392499.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,"AYEDUN - 22 AJISOLA STREET, AYEDUN",28/06/11/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/024/024-1677392013.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IMUAGUN - 28 AYEDUN IMUAGUN,28/06/11/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/018/018-1677391871.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ST DOMINIC GRAM. SCHOOL - ST DOMINIC GRAM. SCHOOL,28/06/11/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/013/013-1677391408.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IROKIN - 6 AJAYI STREET,28/06/11/032,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/032/032-1677388120.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,"ERINGBO/EGBEDI - 3 IJOFI STREET, AKURE",28/06/11/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/029/029-1677387536.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ILERE ODO-ILERE ODO CAMP,28/06/11/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/015/015-1677386022.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,IROKUN -OPOSITE OLOWOKERE HOTEL,28/06/11/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/021/021-1677372798.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,AYEDUN ALA JUNCTION,28/06/11/033,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/033/033-1677371495.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT OWOLABI JUNCTION OYEMEKUN HOUSING ESTATE FUTA NG ROAD,28/06/11/056,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/056/056-1677370731.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,ST DOMINIC - SHOLA AMURE STREET,28/06/11/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/027/027-1677369890.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE OPPOSITE AYEDUN HEALTH CENTRE,28/06/11/037,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/037/037-1677369821.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,SUBEB MODEL PRY SCHOOL OKUTA ELERINLA,28/06/11/054,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/054/054-1677369079.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,"OBA ADESIDA RD, OBA ADESIDA RD",28/06/11/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/016/016-1677369023.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT ZICO JUNCTION AJISOLA AYEDUN,28/06/11/051,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/051/051-1677368557.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE AT THE BACK OF STADIUM AYEDUN,28/06/11/048,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/048/048-1677368505.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,"OPEN SPACE AT OLOWOMEYE JUNCTION, EYIN ALA, AYEDUN",28/06/11/059,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/059/059-1677367794.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,AYEDUN PRY SCHOOL,28/06/11/050,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/050/050-1677367640.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,BESIDE CRUCNHIES EATERY OYEMEKUN ROAD,28/06/11/052,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/052/052-1677367364.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,OPEN SPACE  AT TUNJI JUNCTION AYEDUN QUARTERS,28/06/11/038,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/038/038-1677366819.pdf,false
ONDO,AKURE SOUTH,OWODE/IMUAGUN,O.D.R.C JUNCTION AT ORITA - OBELE  JUNCTION AKURE,28/06/11/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/014/014-1677366145.pdf,false
