state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ONDO,ODIGBO,EBIJAN,"OKUNRIN & OLADOSA VILLAGE, CENTRE OF OLADOSA VILLAGE",28/13/06/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/011/011-1677407065.pdf,false
ONDO,ODIGBO,EBIJAN,"OLADAPO ORISUNBARE VILLAGE, CENTRE OF ORISUNBARE VILLAGE  NORTH",28/13/06/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/009/009-1677399372.pdf,false
ONDO,ODIGBO,EBIJAN,"EBIJAW VILLAGE, L.A PRY SCH EBIJAN VILLAGE II",28/13/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/002/002-1677399138.pdf,false
ONDO,ODIGBO,EBIJAN,"EBIJAW VILLAGE, L.A PRY SCH EBIJAN VILLAGE I",28/13/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/001/001-1677399086.pdf,false
ONDO,ODIGBO,EBIJAN,"ITAMERIN VILLAGE, CENTRE OF ITAMERIN VILLAGE NORTH I",28/13/06/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/012/012-1677398945.pdf,false
ONDO,ODIGBO,EBIJAN,"OLADAPO ORISUNBARE VILLAGE, CENTRE OF ORISUNBARE VILLAGE SOUTH",28/13/06/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/010/010-1677398519.pdf,false
ONDO,ODIGBO,EBIJAN,"COMM PRY SCH OBAJARE, CENTRE OF COMM PRY SCH OBAJARE",28/13/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/005/005-1677397520.pdf,false
ONDO,ODIGBO,EBIJAN,"ITAMERIN VILLAGE, CENTRE OF ITAMERIN VILLAGE SOUTH II",28/13/06/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/013/013-1677395917.pdf,false
ONDO,ODIGBO,EBIJAN,"AJANA VILLAGE, CENTRE OF AJANA VILLAGE",28/13/06/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/008/008-1677395253.pdf,false
ONDO,ODIGBO,EBIJAN,"TAIBOR VILLAGE, CENTRE OF TAIBOR VILLAGE III",28/13/06/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/003/003-1677393999.pdf,false
ONDO,ODIGBO,EBIJAN,"OLOGBOSERE VILLAGE, CENTRE OF OLOGBOSERE",28/13/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/007/007-1677392900.pdf,false
ONDO,ODIGBO,EBIJAN,"ODOKORO/ABASULE VILLAGE, CENTRE OF ODOKORO VILLAGE",28/13/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/004/004-1677390767.pdf,false
ONDO,ODIGBO,EBIJAN,"OBASASA VILLAGE, CENTRE OF OBASASA VILLAGE",28/13/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/06/pu/006/006-1677390029.pdf,false
