state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ONDO,ODIGBO,ONIPARAGA,"COMMUNITY HEALTH CENTRE, TEMIDIRE",28/13/09/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ONDO,ODIGBO,ONIPARAGA,"ST PHILIPS PRY SCH, ONIPARAGA, ST PHILIPS PRY SCH, ONIPARAGA I",28/13/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/001/001-1677415636.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OKE-EKA QTRS, NEAR MOTOR PARK OKE-EGAN QTRS",28/13/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/004/004-1677414765.pdf,false
ONDO,ODIGBO,ONIPARAGA,"DISPENSARY AREA ONIPARAGA,DISPENSARY AREA ONIPARAGA",28/13/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/003/003-1677414495.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ST PHILIPS PRY SCH, ONIPARAGA, ST PHILIPS PRY SCH, ONIPARAGA II",28/13/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/002/002-1677414279.pdf,false
ONDO,ODIGBO,ONIPARAGA,"AJEBAMIDELE ONITEA, CENTRE OF AJEBAMIDELE ONITEA VILLAGE",28/13/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/007/007-1677414007.pdf,false
ONDO,ODIGBO,ONIPARAGA,"AJEBAMIDELE VILLAGE ONITEA VILLAGE, EXPRESS JUNCTION AJEBAMIDELE ONITEA",28/13/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/008/008-1677413364.pdf,false
ONDO,ODIGBO,ONIPARAGA,"AJEBAMIDELE VILLAGE, ST LUKES PRY SCH, AJEBAMIDELE",28/13/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/009/009-1677413306.pdf,false
ONDO,ODIGBO,ONIPARAGA,"COMM PRY SCH OBADORE VILLAGE, COMM PRY SCH OBADORE VILLAGE",28/13/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/015/015-1677413283.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ABA PANU VILLAGE, CENTRE OF ABA PANU VILLAGE NORTH I",28/13/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/005/005-1677412862.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ANSARUDEEN PRY. SCHL. II, KAJOLA",28/13/09/035,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/035/035-1677412555.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ABA PANU VILLAGE, CENTRE OF ABA PANU VILLAGE SOUTH II",28/13/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/006/006-1677412340.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ONIPETESI VILLAGE, CENTRE OF ONIPETSI VILLAGE",28/13/09/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/031/031-1677412287.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ST. STEPHENS PRY. SCHL. II, KAJOLA",28/13/09/034,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/034/034-1677412215.pdf,false
ONDO,ODIGBO,ONIPARAGA,"COMMUNITY GRAMMAR SCHOOL, KAJOLA",28/13/09/036,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/036/036-1677411800.pdf,false
ONDO,ODIGBO,ONIPARAGA,"IMORUN COMPREHENSIVE HIGH SCHL, LEEGE",28/13/09/037,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/037/037-1677411648.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OPEN SPACE BESIDE FIRST BAPTIST CHURCH, AJEBAMIDELE",28/13/09/032,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/032/032-1677410474.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OBADORE VILLAGE, CENTRE OF OBADORE VILLAGE SOUTH",28/13/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/012/012-1677409861.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OBADORE VILLAGE, CENTRE OF OBADORE VILLAGE NORTH",28/13/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/011/011-1677409332.pdf,false
ONDO,ODIGBO,ONIPARAGA,"TEMIDIRE VILLAGE 1  & 11, COMM PRY SCH TEMIDIRE VILLAGE",28/13/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/014/014-1677408996.pdf,false
ONDO,ODIGBO,ONIPARAGA,"SAKOTO VILLAGE 1 & 11, CENTRE OF SAKOTO VILLAGE",28/13/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/013/013-1677408863.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OBADORE VILLAGE, CENTRE OF OBADORE VILLAGE NORTH",28/13/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/016/016-1677408319.pdf,false
ONDO,ODIGBO,ONIPARAGA,"JAGIODO VILLAGE, CENTRE OF JAGIODO VILLAGE",28/13/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/018/018-1677407768.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OGUNLEPA VILLAGE, CENTRE OF OGUNLEPA VILLAGE",28/13/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/019/019-1677406931.pdf,false
ONDO,ODIGBO,ONIPARAGA,"OMINEG NUR PRY SCH KAJOLA, OMINEG NUR PRY SCH KAJOLA",28/13/09/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/025/025-1677406070.pdf,false
ONDO,ODIGBO,ONIPARAGA,"NEAR THE POST OFFICE KAJOLA, POST OFFICE KAJOLA",28/13/09/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/024/024-1677405931.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ANSARUDEEN PRY SCH KAJOLA,  ANSARUDEEN PRY SCH KAJOLA",28/13/09/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/023/023-1677404727.pdf,false
ONDO,ODIGBO,ONIPARAGA,"KOREDE IMORUN VILLAGE, CENTRE OF MOKORE VILLAGE",28/13/09/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/028/028-1677403222.pdf,false
ONDO,ODIGBO,ONIPARAGA,"LEEGE VILLAGE, CENTRE OF LEEGE VILLAGE",28/13/09/030,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/030/030-1677403169.pdf,false
ONDO,ODIGBO,ONIPARAGA,"RAPHAEL AJEBAMBO VILLAGE, ST JEROMES PRY SCH AJEBAMBO",28/13/09/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/026/026-1677401948.pdf,false
ONDO,ODIGBO,ONIPARAGA,"EPEMAKINDE/MILANA VILLAGE, CENTRE OF ILUTITUN VILLAGE",28/13/09/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/027/027-1677401324.pdf,false
ONDO,ODIGBO,ONIPARAGA,"ST STEPHENS PRY SCH KAJOLA,  ST STEPHENS PRY SCH KAJOLA",28/13/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/021/021-1677400618.pdf,false
ONDO,ODIGBO,ONIPARAGA,"AYETIMBO/LISAGBEDE BOLORUNDURO, ST JEROME PRY SCH AYETIMBO",28/13/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/017/017-1677399734.pdf,false
ONDO,ODIGBO,ONIPARAGA,"KARAOLE VILLAGE, CENTRE OF KARAOLE VILLAGE",28/13/09/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/029/029-1677399581.pdf,false
ONDO,ODIGBO,ONIPARAGA,"LABON VILLAGE, CENTRE OF LABON VILLAGE",28/13/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/010/010-1677399562.pdf,false
ONDO,ODIGBO,ONIPARAGA,"DISPENSARY/MATERNITY KAJOLA, DISPENSARY/MATERNITY KAJOLA",28/13/09/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/022/022-1677399176.pdf,false
ONDO,ODIGBO,ONIPARAGA,"LALEPA IFARAFAJO VILLAGE, COMM PRY SCH LALEPA",28/13/09/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/09/pu/020/020-1677394406.pdf,false
