state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,PRY SCH AJEBAMBO II,28/16/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3701/ward/24355/pu/96477/96477-1677590667.pdf,true
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"COMM PRY SCH, OBUNEKO II",28/16/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3701/ward/24355/pu/96473/96473-1677526435.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"PRY SCH, AYETIMBO II",28/16/02/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/025/025-1677407766.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"COMM PRY SCH, OLUWABASIRI I",28/16/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/012/012-1677407707.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"PRY SCH, AJEGUNLE I",28/16/02/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/018/018-1677406765.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"PRY SCH, GBONKUTA",28/16/02/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/021/021-1677406434.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,TEMIDIRE PRY SCH,28/16/02/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/020/020-1677403800.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,AT MOTADOLE/ILUTITUN II,28/16/02/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/027/027-1677402913.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"SURAJADEEN, GBAGHENGHA OJA II",28/16/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/017/017-1677402599.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,PRY SCH AJEBAMBO I,28/16/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/005/005-1677401425.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"COMM PRY SCH, ADEBANJO I",28/16/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/010/010-1677401164.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"PRY SCH, AYETIMBO I",28/16/02/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/024/024-1677399930.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"ST. MONICAS SCH, LAJE II",28/16/02/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/029/029-1677399666.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"COMM PRY SCH, OBUNEKO I",28/16/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/001/001-1677399042.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"COMM PRY SCH, ADEBANJO II",28/16/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/011/011-1677398771.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,OPEN SPACE AT ONISOOSI I,28/16/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/007/007-1677395624.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"PRY SCH,AYETORO",28/16/02/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/023/023-1677395384.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,OPEN SPACE AT ABOBA,28/16/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/009/009-1677394883.pdf,false
ONDO,ONDO WEST,GBAGHENGHA/GBONGBO/AJAGBA ALAFIA,"ST. MONICAS SCH, LAJE I",28/16/02/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/02/pu/028/028-1677393596.pdf,false
