state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"V/HALL, IKOT NKWA",03/05/09/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5725/result_255599_1677675538_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT OBONG EDONG I",03/05/09/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5726/result_255600_1677675407_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, UKANA NSASAK",03/05/09/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5728/result_255602_1677675322_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT ANDEM",03/05/09/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5729/result_255603_1677675228_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT ETAN",03/05/09/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5730/result_255604_1677675113_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT AKPAN INYANG",03/05/09/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5731/result_255605_1677675038_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT EKON",03/05/09/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5732/result_255606_1677674736_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT AKPAN EFIA I",03/05/09/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5733/result_255607_1677674675_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT AKPAN EFIA II",03/05/09/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5734/result_255608_1677674617_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"PRY SCH, IKOT ESEDOMO",03/05/09/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5735/result_255609_1677674542_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IBOHO",03/05/09/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5736/result_255610_1677674405_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT ESSIEN",03/05/09/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5737/result_255611_1677674191_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT AKPAN ESSANG",03/05/09/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5738/result_255612_1677673759_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT OFFIONG",03/05/09/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT AKPABIN",03/05/09/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5740/result_255614_1677673527_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"PRY SCH, UKANA UNA EAST I",03/05/09/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5741/result_255615_1677673018_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"PRY SCH, UKANA UWA EAST II",03/05/09/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5742/result_255616_1677672828_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT ESO",03/05/09/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5743/result_255617_1677672749_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,PRY SCH IKOT OFOK,03/05/09/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5744/result_255618_1677672682_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"V/HALL, IKOT AKPAN ESSIEN I",03/05/09/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5745/result_255619_1677672459_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"V/HALL, IKOT AKPAN ESSIEN II",03/05/09/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5746/result_255620_1677672302_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"V/HALL, IKOT OSOM",03/05/09/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5747/result_255621_1677672076_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"V/HALL, IKOT OFFIONG ETOR",03/05/09/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5748/result_255622_1677671986_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"OPEN SPACE, PRY. HEALTH CENTER, UKANA NSASAK",03/05/09/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621306/result_255623_1677671804_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"COMMUNITY SECONDARY SCHOOL, UKANA EAST",03/05/09/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621307/result_255624_1677671538_thumb.jpg,false
AKWA IBOM,ESSIEN UDIM,UKANA EAST,"VILLAGE SQUARE, IKOT OBONG EDONG II",03/05/09/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/5727/result_255601_1677671462_thumb.jpg,false
