state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
AKWA IBOM,ETINAN,NORTHERN IMAN 1,"PRIMARY HEALTH CENTER, IKOT OBIO INYANG",03/07/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/010/010-1677363331.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,VILLAGE HALL EKOM IMAN,03/07/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/009/009-1677363664.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,"AFAHA EFIAT YOUTH HALL, AFAHA EFIAT",03/07/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/011/011-1677362707.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,"PRY SCH, IKOT NSEYEN I",03/07/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/001/001-1677369042.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,PRY SCH EKOM IMAN II,03/07/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/008/008-1677363892.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,PRY SCH AFAHA EFIAT,03/07/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/006/006-1677364519.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,CO-OPERATIVE IKOT OBIO INYANG,03/07/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/005/005-1677363719.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,PRY SCH IKOT OBIO INYANG,03/07/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/004/004-1677364006.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,"CO-OPERATIVE HALL, IKOT OSONG",03/07/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/003/003-1677359627.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,"PRY SCH, IKOT NSEYEN II",03/07/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/002/002-1677360389.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,PRY SCH EKOM IMAN I,03/07/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/007/007-1677361065.pdf,false
AKWA IBOM,ETINAN,NORTHERN IMAN 1,"OPEN SPACE URUA UKO ETUK, AFAHA EFIAT",03/07/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/10/pu/012/012-1677360814.pdf,false
