state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, IKOT EBOM, NSIAK",03/14/04/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621631/result_256799_1677611282_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, NTO UDO ABASI, NSIAK",03/14/04/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621630/result_256798_1677611179_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, NTO UDO",03/14/04/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621629/result_256797_1677611103_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, IKOT UDO NTIA",03/14/04/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621628/result_256796_1677611048_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, NTO OBIO EDOK",03/14/04/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621627/result_256795_1677610963_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, NTO AKPAN ESSIEN, CALABAR ITU ROAD",03/14/04/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621626/result_256794_1677610854_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"METHODIST CENTRAL PRIMARY SCHOOL, UTU IKOT EKPENYONG",03/14/04/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621625/result_256793_1677610763_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, NSIAK",03/14/04/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6598/result_256792_1677610680_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"PRY SCH, NSIAK",03/14/04/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6597/result_256791_1677610572_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, ABAK OKO",03/14/04/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6596/result_256790_1677610438_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"PRY SCH, ABAK OKO",03/14/04/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6595/result_256789_1677610283_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE SQUARE, UTU IKOT ESIEN NDEM EKPOT",03/14/04/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6594/result_256788_1677610137_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE SQUARE, UTU IKOT EKPEYONG",03/14/04/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6593/result_256787_1677609924_thumb.jpg,false
AKWA IBOM,IKOT EKPENE,IKOT EKPENE 1V,"VILLAGE HALL, UTU IKOT EKPEYONG",03/14/04/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/6592/result_256786_1677609809_thumb.jpg,false
