state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE SQUARE, ESA UDOE II",03/20/05/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621830/result_257539_1677662398_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE SQUARE, AKA I, OBO IKOT ITA",03/20/05/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621829/result_257538_1677662317_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE HALL, OBO NTONG",03/20/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE SQUARE, UDUA OBO",03/20/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621826/result_257535_1677662062_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE SQUARE, OKOPEDI OBO ETOK",03/20/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/621827/result_257536_1677661916_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"PRY. SCH, OBO NTONG",03/20/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7136/result_257534_1677661727_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"CIVIC CENTRE, OBO IKOT ITA",03/20/05/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7135/result_257533_1677661649_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"CENTRAL SCH, OBO IKOT ITA",03/20/05/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7134/result_257532_1677661539_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"PRY SCH  , OBO ETOK",03/20/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7133/result_257531_1677661457_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,VILLAGE HALL OBOETOK,03/20/05/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7132/result_257530_1677661373_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE HALL, IKOT OBOK",03/20/05/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7131/result_257529_1677661231_thumb.jpg,false
AKWA IBOM,NSIT IBOM,ASANG V,"VILLAGE SQUARE, IKOT IDEM",03/20/05/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7130/result_257528_1677661141_thumb.jpg,false
