state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE SQUARE, IKOT ABIA OSOM",03/22/05/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7304/result_257760_1677577115_thumb.jpg,true
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE HALL, NTO EKPU IKOT",03/22/05/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/7299/result_257755_1677568262_thumb.jpg,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"METHODIST PRI. SCH, ABIAKPO IBO IKOT ABIA OSOM",03/22/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/010/010-1677414215.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"METH. SEC SCH, NTO NADANG",03/22/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/008/008-1677413576.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE HALL, NTO NDANG",03/22/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/007/007-1677412672.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE HALL, UTU IKOT INYANG 11",03/22/05/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/006/006-1677411848.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE HALL, UTU IKOT INYANG 1",03/22/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/005/005-1677408169.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE HALL, NKO NTO NKONO",03/22/05/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/002/002-1677404745.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE SQUARE, NKO NTO NKOBOHO",03/22/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/003/003-1677399211.pdf,false
AKWA IBOM,OBOT AKARA,OBOT AKARA 11,"VILLAGE HALL, ABIAKPO IBO",03/22/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/05/pu/001/001-1677365910.pdf,false
