state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE, G-LINE PLOT 48, HOUSING ESTATE EWET",03/31/03/051,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622423/result_258981_1677751907_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE BEN UDOH, BY F-LINE HOUSING ESTATE EWET.",03/31/03/050,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622422/result_258980_1677751814_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE PLOT 1, G-LINE, HOUSING ESTATE EWET.",03/31/03/049,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622421/result_258979_1677751733_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE DAVOK SUITE, HOUSING ESTATE EWET",03/31/03/048,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622420/result_258978_1677751652_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE BY DON ETIBIET AVENUE, HOUSING ESTATE, EWET",03/31/03/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE NO 8 URUAN STREET,03/31/03/046,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622418/result_258976_1677751404_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE BY AKPA EDOR JUNCTION,03/31/03/045,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622417/result_258975_1677751328_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE RAVINE PARK, DOMINIC UTUK AVENUE",03/31/03/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE BESIDE TEACHERS REGISTRATION COUNCIL OF NIGERIA,03/31/03/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622415/result_258973_1677751178_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE BY NO 2 ATAKPO STREET,03/31/03/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622414/result_258972_1677751090_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE, TECHNICAL SCHOOL, EWET I",03/31/03/041,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622413/result_258971_1677751026_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE EWET/ATAKPO CROSSROAD,03/31/03/040,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE, AKPAN ETUK STR BY IFA ATAI JUNCTION",03/31/03/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622411/result_258969_1677750710_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE BY 12 UDO OBOT STREET,03/31/03/038,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622410/result_258968_1677750646_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE BY NO 16 IBANGA STREET,03/31/03/037,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622409/result_258967_1677750563_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE BY 23, GIBBS STREET",03/31/03/036,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE BY 37, EKPENYONG STREET.",03/31/03/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622407/result_258965_1677750331_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE BY FORMER AKWA SAVINGS & LOANS LTD.,03/31/03/034,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622406/result_258964_1677750269_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE OKOKON ETUK STR. BY UDOK JUNCTION,03/31/03/033,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622405/result_258963_1677750196_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE, NO 20 ORON ROAD",03/31/03/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622404/result_258962_1677750121_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE, SAMPSON SAMPSON BY UTANG STR.",03/31/03/031,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622403/result_258961_1677750037_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE UTANG STREET, OPP. AIRTEL MAST.",03/31/03/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622402/result_258960_1677749820_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE A DIVISION, WELLINGTON BASSEY WAY",03/31/03/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622401/result_258959_1677749731_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE, UYO CLUB BY GOVT. HOUSE MAIN GATE",03/31/03/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622400/result_258958_1677749552_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE PRIMARY HEALTH CARE CENTRE, OLD UYO VILLAGE",03/31/03/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622399/result_258957_1677749426_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,OPEN SPACE AKPAAKPAN STR. BY WELLINGTON BASSEY WAY,03/31/03/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622398/result_258956_1677749359_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,CKS PRIMARY SCH. WELLINGTON BASSEY IV,03/31/03/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622397/result_258955_1677749201_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE PAUL BASSEY, OPP. ST. BENEDICTS HIGH SCH.",03/31/03/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622396/result_258954_1677749135_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE BY FORMER MR. BIGGS, DOMINIC UTUK AVENUE",03/31/03/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622395/result_258953_1677749065_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,CKS PRIMARY SCH. WELLINGTON BASSEY WAY III,03/31/03/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622394/result_258952_1677748969_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"OPEN SPACE OPP. POLICE STATION, STATE HOUSING ESTATE",03/31/03/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8153/result_258951_1677748874_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"STATE HOUSING ESTATE PARK OFF \F\"" LINE""",03/31/03/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8152/result_258950_1677748555_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"KING AND QUEEN MONT. NUR SCH, STATE HOUSING ESTATE",03/31/03/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8151/result_258949_1677748365_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"URUAN STREET BY SIMON UDOETTE STREET JUNCTION (EWET TIMBA MARKET, URUAN STREET)",03/31/03/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8150/result_258948_1677748272_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"LOCAL EDUCATION COMMITTEE, NWANIBA",03/31/03/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8149/result_258947_1677748157_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"CKS NURSERY SCH, BROOKS ST",03/31/03/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8148/result_258946_1677748033_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"FIRE SERVICE, BROOKS ST",03/31/03/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8147/result_258945_1677747885_thumb.jpg,false
AKWA IBOM,UYO,UYO URBAN 111,"TECHNICAL SCH, EWET",03/31/03/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/8146/result_258944_1677747824_thumb.jpg,false
